# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4228   500	   4217   500	   4206   501	   4218   501	   4370   399	   4393   398	   4218   501	   4217   501
24  	   6663   604	   6690   605	   6590   602	   6783   615	   7504   697	   7529   699	   6640   604	   6614   602
32  	   9478   713	   9522   713	   9377   713	   9666   724	  11005   829	  11036   833	   9448   715	   9407   713
48  	  15337   902	  15426   902	  15177   902	  15674   912	  18603  1114	  18647  1121	  15293   904	  15222   902
64  	  21570  1061	  21705  1059	  21351  1060	  22059  1071	  26810  1328	  26870  1333	  21512  1062	  21410  1061
96  	  34467  1414	  34687  1413	  34133  1415	  35248  1426	  44269  1975	  44356  1983	  34380  1415	  34219  1413
128 	  48064  1644	  48370  1642	  47610  1642	  49148  1656	  62947  2327	  63066  2333	  47946  1645	  47726  1644
192 	  76050  2220	  76525  2221	  75369  2217	  77702  2245	 102086  3364	 102260  3370	  75880  2225	  75544  2216
256 	 105275  2785	 105926  2789	 104366  2780	 107510  2805	 143632  4393	 143865  4401	 105050  2785	 104597  2779
384 	 165634  3983	 166628  3982	 164268  3975	 169030  4013	 231187  6589	 231527  6602	 165299  3982	 164611  3974
512 	 227874  5050	 229195  5054	 226057  5039	 232377  5082	 323118  8633	 323571  8640	 227421  5045	 226513  5039
768 	 356738  7327	 358740  7331	 354020  7316	 363509  7374	 516139 12577	 516815 12582	 356064  7322	 354703  7320
1024	 488538  9787	 491192  9793	 484961  9778	 497499  9827	 716297 17946	 717173 17952	 487656  9785	 485856  9781
