# reps=1000, dist name=almost, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3469   690	   3458   690	   3447   690	   3624   690	   4147   578	   4167   575	   3458   691	   3458   690
24  	   5535   807	   5531   802	   5460   800	   5932   840	   6052   880	   6075   882	   5513   810	   5482   799
32  	   7748  1030	   7750  1029	   7663  1019	   8262  1071	   8526  1136	   8551  1140	   7725  1031	   7688  1020
48  	  12790  1194	  12807  1189	  12624  1184	  13718  1241	  14209  1320	  14253  1323	  12748  1197	  12667  1184
64  	  17878  1629	  17903  1628	  17684  1605	  19058  1700	  19932  1803	  19983  1810	  17829  1628	  17734  1608
96  	  29349  1910	  29406  1907	  29006  1889	  31319  1980	  32762  2123	  32848  2128	  29266  1911	  29091  1890
128 	  40293  2851	  40363  2854	  39887  2809	  42789  2970	  45034  3185	  45133  3192	  40195  2849	  39988  2816
192 	  66560  3234	  66697  3233	  65865  3200	  70610  3334	  74343  3634	  74514  3642	  66391  3231	  66038  3205
256 	  90613  4945	  90779  4951	  89810  4881	  95693  5112	 101325  5532	 101522  5542	  90422  4936	  90007  4892
384 	 149863  5251	 150168  5247	 148476  5209	 158078  5354	 167326  5947	 167664  5953	 149526  5243	 148813  5214
512 	 201511  8536	 201865  8549	 199942  8433	 211683  8816	 225047  9545	 225424  9563	 201135  8521	 200325  8453
768 	 333878  9517	 334523  9528	 331112  9460	 350422  9676	 372302 10961	 372975 10965	 333203  9511	 331796  9473
1024	 446779 15416	 447511 15449	 443682 15230	 467134 15905	 498408 17271	 499171 17307	 446021 15379	 444442 15274
