# reps=1000, dist name=zero-one, dist param=0, TYPE=UINT64, CACHE_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD_CYCLES=144, CALL_OVERHEAD_NS=304330
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=14, STRAIGHT_READER=READ_OPT, STABLE=true
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3339   553	   3329   554	   3319   554	   3496   554	   4077   344	   4099   343	   3330   554	   3330   554
24  	   5571   555	   5571   555	   5496   554	   5937   555	   6404   619	   6426   619	   5548   555	   5518   554
32  	   8086   486	   8095   487	   7963   481	   8655   497	   9646   551	   9677   553	   8054   485	   7994   482
48  	  12662   699	  12678   701	  12512   687	  13465   727	  15379   809	  15416   812	  12625   697	  12549   689
64  	  19077   863	  19110   866	  18832   846	  20268   900	  23751  1098	  23806  1101	  19019   861	  18889   849
96  	  30863   675	  30921   676	  30518   666	  32643   688	  39303   807	  39378   808	  30786   673	  30596   668
128 	  45386  1380	  45469  1385	  44899  1346	  47830  1458	  58444  1812	  58546  1818	  45282  1373	  45001  1352
192 	  74542  1388	  74673  1392	  73823  1362	  78201  1442	  97285  1682	  97435  1686	  74388  1381	  73975  1366
256 	 107470  1703	 107658  1713	 106449  1663	 112498  1793	 141492  2385	 141701  2390	 107256  1695	 106665  1672
384 	 175521  2724	 175811  2735	 174033  2671	 183000  2838	 233367  3451	 233674  3458	 175214  2715	 174341  2682
512 	 249689  2422	 250087  2432	 247656  2377	 259796  2520	 333890  3527	 334303  3531	 249278  2412	 248070  2388
768 	 404218  5599	 404808  5616	 401224  5473	 419235  5857	 544679  7124	 545284  7145	 403613  5571	 401841  5502
1024	 570563  3931	 571385  3930	 566454  3914	 590874  3979	 771896  5604	 772714  5606	 569734  3927	 567294  3916
