# reps=1000, dist name=almost, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   2964   560	   2954   561	   2954   561	   2954   560	   3378   410	   3403   408	   2954   561	   2965   561
24  	   5007   710	   4852   685	   4973   710	   5128   744	   4957   675	   4984   679	   4986   713	   4994   710
32  	   6962   914	   6738   886	   6923   910	   7107   957	   6959   869	   6989   877	   6938   914	   6948   911
48  	  11690  1064	  11164  1015	  11614  1065	  12037  1113	  11491  1056	  11551  1063	  11649  1069	  11657  1063
64  	  16259  1468	  15480  1399	  16169  1461	  16670  1539	  16106  1467	  16173  1478	  16210  1467	  16219  1463
96  	  26855  1706	  25346  1610	  26694  1702	  27635  1776	  26435  1774	  26559  1781	  26772  1705	  26779  1702
128 	  36730  2576	  34515  2408	  36537  2562	  37660  2688	  36309  2655	  36456  2671	  36633  2572	  36639  2569
192 	  60795  2902	  56827  2693	  60465  2890	  62437  2999	  59917  3057	  60184  3067	  60630  2900	  60633  2895
256 	  82472  4453	  76786  4074	  82084  4429	  84387  4611	  81565  4734	  81873  4741	  82277  4442	  82283  4440
384 	 136511  4678	 126648  4246	 135840  4666	 139871  4784	 134709  5010	 135270  5008	 136173  4674	 136178  4672
512 	 182861  7736	 168972  6935	 182099  7694	 186682  7985	 180928  8270	 181562  8270	 182482  7713	 182485  7714
768 	 303229  8319	 279619  7649	 301873  8292	 310019  8473	 299484  9337	 300661  9318	 302553  8307	 302556  8306
1024	 404357 13956	 371540 12479	 402843 13874	 411976 14399	 400406 15053	 401713 15030	 403604 13917	 403604 13909
