# reps=1000, dist name=normal, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3911   499	   3902   499	   3902   499	   3901   499	   3937   330	   3964   329	   3902   499	   3913   499
24  	   6924   597	   6795   587	   6889   596	   7041   617	   6872   586	   6902   588	   6901   598	   6912   595
32  	  10106   739	   9873   719	  10057   737	  10291   763	  10077   733	  10117   736	  10077   739	  10087   738
48  	  17142   973	  16630   945	  17063   970	  17480  1005	  17156   980	  17218   988	  17099   972	  17108   971
64  	  24628  1115	  23804  1088	  24520  1113	  25111  1145	  24724  1157	  24808  1164	  24571  1116	  24580  1115
96  	  40711  1611	  39146  1557	  40547  1609	  41495  1651	  41020  1703	  41147  1715	  40626  1613	  40634  1609
128 	  57832  2014	  55398  1930	  57607  2010	  58911  2046	  58360  2177	  58534  2188	  57716  2011	  57723  2012
192 	  94195  2860	  89853  2652	  93857  2855	  95870  2904	  95294  3059	  95554  3073	  94025  2862	  94031  2858
256 	 132930  3733	 126477  3466	 132471  3731	 135203  3768	 134704  4055	 135056  4065	 132699  3736	 132702  3732
384 	 214177  5186	 203006  4760	 213493  5181	 217642  5222	 217244  5699	 217768  5715	 213835  5183	 213842  5182
512 	 300609  7291	 284346  6644	 299692  7294	 305290  7330	 305333  8022	 306044  8037	 300153  7293	 300159  7296
768 	 480729 10487	 453560  9660	 479343 10471	 487795 10531	 489108 11832	 490174 11851	 480052 10481	 480044 10475
1024	 670296 15081	 631305 13950	 668439 15072	 679723 15133	 682644 17236	 684064 17255	 669374 15079	 669369 15073
