# reps=1000, dist name=sorted, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   1375     2	   1363     6	   1363     6	   1364     6	   2512     4	   2533     7	   1363     6	   1376     2
24  	   3569     6	   3425     5	   3529    10	   3665     5	   3569     6	   3591     8	   3545    10	   3559     8
32  	   4536     8	   4346    11	   4505     8	   4635    11	   4626     7	   4649     8	   4514     6	   4524    11
48  	   9573    13	   9088    11	   9492    13	   9894    14	   9351    15	   9408    11	   9527    16	   9541    13
64  	  12217    14	  11556    13	  12137    14	  12538    14	  12084    13	  12138    14	  12172    16	  12185    14
96  	  23643    19	  22268    17	  23479    19	  24402    19	  23048    19	  23182    20	  23553    18	  23563    18
128 	  30342    21	  28440    22	  30176    20	  31102    20	  29838    21	  29970    22	  30250    21	  30263    22
192 	  55956    29	  52332    29	  55616    30	  57602    29	  54687    28	  54986    27	  55781    29	  55794    29
256 	  72178    33	  67142    31	  71834    34	  73822    32	  70997    33	  71294    34	  72000    33	  72013    33
384 	 128999    43	 119858    42	 128307    45	 132404    44	 126440    45	 127077    45	 128645    44	 128656    44
512 	 167078    50	 154416    49	 166383    50	 170482    50	 164615    53	 165246    52	 166724    50	 166737    49
768 	 291948    65	 269730    65	 290549    64	 298875    67	 286878    64	 288209    67	 291243    65	 291252    63
1024	 379386    75	 348721    75	 377988    71	 386325    77	 374417    79	 375754    73	 378680    75	 378695    75
