# reps=1000, dist name=uniform, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4277   496	   4268   496	   4268   497	   4267   496	   4224   368	   4251   367	   4268   496	   4278   496
24  	   7424   670	   7288   658	   7387   669	   7546   694	   7362   658	   7392   661	   7400   671	   7411   670
32  	  10763   703	  10519   691	  10714   701	  10951   731	  10712   709	  10754   714	  10733   703	  10743   702
48  	  18046  1007	  17529   982	  17967  1008	  18390  1043	  18044  1018	  18107  1026	  18003  1010	  18013  1008
64  	  25845  1253	  25008  1212	  25735  1252	  26346  1289	  25924  1303	  26013  1311	  25786  1256	  25796  1252
96  	  42527  1597	  40946  1520	  42362  1594	  43322  1635	  42797  1675	  42931  1684	  42443  1598	  42450  1595
128 	  60381  2153	  57898  2026	  60158  2146	  61480  2198	  60828  2293	  61005  2303	  60267  2151	  60274  2150
192 	  97968  2831	  93605  2746	  97624  2828	  99677  2881	  98991  3214	  99256  3228	  97793  2835	  97802  2830
256 	 137876  3928	 131357  3629	 137412  3925	 140191  3969	 139486  4268	 139840  4281	 137644  3927	 137648  3927
384 	 221883  5509	 210664  5051	 221187  5503	 225413  5552	 224875  6004	 225414  6018	 221542  5506	 221540  5505
512 	 310202  7037	 293893  6575	 309272  7039	 314946  7092	 314743  7989	 315458  8004	 309745  7039	 309741  7041
768 	 496673 11322	 469227 10283	 495278 11313	 503861 11366	 504699 12414	 505777 12429	 495991 11315	 495979 11316
1024	 691178 14695	 651742 13655	 689306 14684	 700780 14738	 702924 16880	 704360 16903	 690278 14691	 690241 14687
