# reps=1000, dist name=zero-one, dist param=0, TYPE=UINT32, CACHE_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD_CYCLES=144, CALL_OVERHEAD_NS=304330
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=14, STRAIGHT_READER=READ_OPT, STABLE=true
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   2839   447	   2828   447	   2829   447	   2830   447	   3296   267	   3323   266	   2830   447	   2841   447
24  	   5147   455	   5032   446	   5115   455	   5247   456	   5138   463	   5165   461	   5126   456	   5137   456
32  	   7747   437	   7501   435	   7693   433	   7949   453	   7751   481	   7792   487	   7714   435	   7725   436
48  	  12150   662	  11722   654	  12086   654	  12406   700	  12338   721	  12390   732	  12113   659	  12123   658
64  	  18716   838	  17958   836	  18612   831	  19161   878	  19088   917	  19167   924	  18659   834	  18670   836
96  	  30681   589	  29276   605	  30536   584	  31340   606	  31521   735	  31627   741	  30603   587	  30615   586
128 	  45388  1391	  43253  1387	  45187  1376	  46330  1469	  46769  1538	  46921  1550	  45283  1383	  45293  1383
192 	  75222  1351	  71414  1274	  74927  1338	  76626  1412	  77930  1492	  78150  1496	  75070  1345	  75077  1344
256 	 109107  1721	 103434  1714	 108692  1703	 111113  1811	 113199  1969	 113511  1979	 108893  1713	 108905  1713
384 	 179167  2725	 169438  2529	 178568  2701	 182123  2840	 186573  2978	 187029  2991	 178863  2716	 178875  2715
512 	 255758  2277	 241642  2376	 254934  2254	 259823  2379	 266703  3036	 267321  3044	 255344  2263	 255354  2263
768 	 415711  5690	 392157  5266	 414512  5639	 421688  5939	 434824  6055	 435725  6086	 415104  5661	 415120  5663
1024	 588493  3489	 554579  3525	 586846  3470	 596719  3547	 616040  5035	 617275  5033	 587672  3481	 587677  3480
