# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5062   622	   5052   622	   5052   622	   5239   622	   5114   546	   5141   547	   5053   623	   5064   622
24  	   8555   803	   8540   789	   8505   799	   8962   822	   8936   894	   8967   897	   8532   802	   8542   802
32  	  12375   948	  12373   945	  12307   944	  12947   980	  12891  1005	  12931  1004	  12347   949	  12357   947
48  	  20520  1248	  20513  1210	  20408  1244	  21432  1275	  21348  1322	  21410  1325	  20477  1248	  20487  1247
64  	  29267  1477	  29281  1439	  29110  1471	  30522  1505	  30383  1547	  30468  1550	  29209  1476	  29218  1475
96  	  47643  2118	  47648  1979	  47398  2115	  49572  2148	  49428  2142	  49557  2148	  47557  2120	  47566  2118
128 	  67176  2459	  67202  2356	  66842  2453	  69789  2493	  69584  2542	  69761  2546	  67059  2459	  67067  2459
192 	 107725  3514	 107785  3341	 107227  3509	 111668  3556	 111530  3590	 111788  3598	 107561  3514	 107566  3514
256 	 150455  4535	 150609  4266	 149788  4527	 155746  4573	 155623  4588	 155975  4597	 150236  4532	 150240  4536
384 	 239612  6686	 239837  6270	 238602  6674	 247582  6732	 247741  6709	 248254  6713	 239279  6683	 239282  6681
512 	 332518  8681	 332642  8036	 331168  8673	 343115  8733	 343685  8668	 344366  8679	 332073  8676	 332077  8671
768 	 526102 12674	 526407 12020	 524075 12660	 542016 12726	 543655 12559	 544663 12566	 525427 12666	 525429 12674
1024	 725210 17741	 725802 16130	 722517 17726	 746320 17805	 749546 17610	 750878 17617	 724303 17732	 724300 17742
