# reps=1000, dist name=sorted, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   1379     7	   1376     3	   1363     6	   1376     2	   2757    81	   2777    80	   1376     2	   1376     2
24  	   4251   786	   4108   733	   4021   720	   4209   779	   4255   821	   4279   825	   4229   787	   4046   721
32  	   6217  1170	   5965  1093	   5837  1061	   6113  1148	   6327  1230	   6356  1237	   6187  1166	   5869  1064
48  	  11092  1484	  10562  1370	  10346  1337	  10820  1432	  11489  1576	  11535  1583	  11049  1481	  10391  1342
64  	  16127  1744	  15264  1593	  14961  1556	  15637  1666	  16865  1858	  16925  1868	  16069  1739	  15020  1560
96  	  27095  2236	  25472  2022	  24997  1984	  26063  2105	  28601  2437	  28691  2448	  27011  2233	  25084  1989
128 	  38692  2679	  36191  2417	  35543  2375	  37008  2508	  41070  3043	  41191  3055	  38582  2675	  35658  2382
192 	  63494  3692	  59067  3304	  58069  3253	  60321  3412	  67839  4252	  68019  4263	  63330  3691	  58242  3260
256 	  89735  4664	  83123  4103	  81776  4050	  84830  4226	  96171  5364	  96412  5378	  89518  4663	  82005  4054
384 	 145307  6546	 133951  5613	 131900  5556	 136532  5739	 156424  7469	 156786  7489	 144981  6546	 132242  5563
512 	 203743  8257	 187191  7148	 184445  7087	 190650  7265	 220004 10003	 220484 10017	 203303  8252	 184900  7098
768 	 325923 11527	 298486  9932	 294332  9874	 303726 10056	 353839 14566	 354556 14581	 325270 11529	 295020  9873
1024	 454508 14594	 414902 12359	 409340 12294	 421911 12501	 493709 17864	 494679 17877	 453628 14594	 410264 12305
