# reps=1000, dist name=zero-one, dist param=0, TYPE=UINT32, CACHE_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD_CYCLES=144, CALL_OVERHEAD_NS=304330
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=false, MERGE_THRESHOLD=14, STRAIGHT_READER=READ_OPT, STABLE=true
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   2850   447	   2840   447	   2829   447	   2841   447	   3579   250	   3601   250	   2841   447	   2841   447
24  	   5228   464	   5116   460	   5038   459	   5194   460	   5475   464	   5498   464	   5207   466	   5060   459
32  	   7825   511	   7590   490	   7452   482	   7742   504	   8517   576	   8550   580	   7793   509	   7485   483
48  	  12018   769	  11593   744	  11425   724	  11777   771	  13307   914	  13343   921	  11979   765	  11462   726
64  	  18280   976	  17532   932	  17247   911	  17852   956	  20746  1086	  20802  1092	  18222   974	  17304   915
96  	  29337   716	  27967   679	  27557   669	  28434   690	  34064   850	  34141   856	  29257   716	  27635   671
128 	  43159  1639	  41054  1547	  40468  1501	  41725  1604	  50684  1890	  50789  1897	  43052  1632	  40576  1506
192 	  69468  1463	  65750  1374	  64890  1340	  66735  1415	  83022  1837	  83173  1844	  69315  1458	  65042  1346
256 	 100993  2185	  95413  2043	  94192  1985	  96827  2111	 121507  2628	 121716  2634	 100781  2175	  94406  1997
384 	 161647  2907	 152102  2663	 150319  2593	 154168  2742	 197064  3574	 197368  3589	 161340  2895	 150626  2605
512 	 231542  2811	 217665  2440	 215221  2376	 220515  2504	 283473  3441	 283883  3445	 231130  2802	 215637  2384
768 	 368297  5919	 345055  5448	 341461  5308	 349222  5616	 455746  7418	 456345  7440	 367693  5895	 342069  5331
1024	 524277  4026	 490937  3225	 485991  3165	 496714  3296	 650403  5567	 651231  5573	 523441  4022	 486824  3177
