# reps=1000, dist name=almost, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3501   690	   3994   819	   3983   819	   3678   690	   4505   542	   4537   541	   3491   690	   3994   820
24  	   6309   985	   6810  1048	   6695  1016	   6728  1006	   6740  1039	   6777  1045	   6287   987	   6717  1016
32  	   9089  1311	   9754  1357	   9590  1322	   9687  1376	   9850  1442	   9902  1453	   9061  1310	   9620  1324
48  	  15074  1718	  15978  1770	  15701  1730	  16033  1788	  16483  1924	  16565  1938	  15032  1716	  15746  1731
64  	  21697  2020	  22892  2085	  22508  2042	  23030  2098	  23952  2324	  24067  2337	  21640  2019	  22565  2046
96  	  34959  2705	  36594  2776	  35983  2724	  37000  2802	  38871  3183	  39045  3200	  34876  2703	  36070  2729
128 	  49376  3294	  51501  3374	  50681  3347	  52143  3427	  55261  3991	  55494  4012	  49267  3294	  50794  3351
192 	  79581  4530	  82564  4603	  81285  4577	  83772  4691	  89570  5653	  89922  5675	  79419  4529	  81456  4584
256 	 112440  5386	 116387  5432	 114675  5494	 118117  5645	 127239  7035	 127714  7059	 112223  5388	 114902  5497
384 	 180710  7974	 186391  8021	 183744  7995	 189253  8177	 205406 10280	 206127 10301	 180386  7973	 184088  8003
512 	 252457 10182	 259901 10240	 256291 10314	 263818 10473	 287892 13520	 288848 13543	 252020 10178	 256754 10318
768 	 403025 15120	 413948 15157	 408885 15293	 420497 15504	 462254 20207	 463693 20230	 402372 15112	 409569 15302
1024	 561241 18216	 575671 18248	 568473 18747	 584144 18989	 644646 25521	 646569 25547	 560363 18212	 569392 18760
