# reps=1000, dist name=reverse, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   8514    13	   9987    13	   9977    12	   8692    13	   5386  1083	   5418  1081	   8505    12	   9988    13
24  	   7463  1660	   8146  1884	   8046  1880	   7899  1710	   8205  1780	   8242  1787	   7441  1662	   8068  1880
32  	  10276  2193	  11123  2444	  10966  2419	  10878  2265	  11443  2404	  11495  2416	  10247  2191	  10995  2423
48  	  17079  1792	  18291  1973	  18021  2008	  18034  1888	  19128  2123	  19208  2135	  17038  1792	  18064  2007
64  	  24131  2305	  25669  2501	  25263  2553	  25433  2452	  27191  2757	  27303  2774	  24075  2304	  25321  2556
96  	  39256  2920	  41464  3100	  40836  3149	  41281  3092	  44548  3517	  44721  3535	  39175  2919	  40923  3151
128 	  54994  3374	  57842  3525	  56981  3692	  57732  3681	  62706  4370	  62939  4390	  54887  3374	  57098  3695
192 	  89000  4462	  93207  4589	  91924  4808	  93206  4831	 102038  5893	 102393  5916	  88835  4461	  92095  4811
256 	 124503  5377	 129994  5523	 128227  5962	 130126  5939	 143189  7453	 143662  7475	 124283  5375	 128456  5969
384 	 199907  7047	 208104  7175	 205510  7985	 208487  7946	 230979 10460	 231692 10484	 199577  7049	 205852  7990
512 	 278913  9415	 289770  9597	 286385 10745	 290519 10658	 323371 14206	 324333 14234	 278471  9413	 286843 10756
768 	 443682 12750	 459833 12944	 454454 15042	 460814 14822	 515390 20545	 516827 20572	 443027 12749	 455142 15043
1024	 617349 17269	 638871 17653	 631718 20440	 640330 19979	 718775 27601	 720708 27633	 616478 17274	 632631 20445
