# reps=1000, dist name=almost, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   2976   560	   2965   560	   2954   560	   2965   561	   3957   423	   3977   420	   2965   561	   2965   561
24  	   5428   823	   5306   800	   5208   789	   5406   833	   5911   920	   5934   922	   5406   824	   5231   789
32  	   7780  1117	   7553  1061	   7407  1034	   7705  1111	   8660  1325	   8691  1331	   7753  1116	   7436  1037
48  	  12839  1467	  12345  1384	  12094  1353	  12603  1439	  14601  1739	  14647  1747	  12795  1465	  12139  1356
64  	  18475  1729	  17648  1617	  17295  1585	  18025  1680	  21314  2104	  21375  2112	  18420  1730	  17353  1588
96  	  29476  2258	  27927  2076	  27372  2037	  28518  2153	  34408  2829	  34498  2839	  29392  2256	  27460  2037
128 	  41640  2678	  39246  2468	  38484  2424	  40060  2555	  49002  3384	  49120  3393	  41530  2677	  38599  2426
192 	  66771  3633	  62516  3290	  61340  3234	  63768  3386	  79154  4731	  79330  4741	  66603  3630	  61511  3239
256 	  93962  4699	  87554  4125	  85968  4072	  89262  4237	 112049  6327	 112287  6341	  93743  4698	  86196  4077
384 	 149609  6472	 138673  5652	 136259  5586	 141249  5787	 179279  8849	 179637  8864	 149275  6469	 136607  5592
512 	 208630  8127	 192710  6982	 189470  6909	 196165  7105	 250790 11463	 251264 11477	 208188  8120	 189935  6917
768 	 332055 11665	 305155  9871	 300286  9806	 310374 10008	 401120 16773	 401830 16781	 331399 11667	 300970  9812
1024	 461552 15448	 423045 12948	 416500 12849	 430039 13098	 558764 22388	 559716 22411	 460661 15446	 417428 12867
