# reps=1000, dist name=normal, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3923   499	   3912   499	   3901   499	   3912   498	   4573   373	   4594   370	   3912   499	   3912   499
24  	   7180   738	   7058   710	   6961   704	   7156   738	   7900   847	   7924   850	   7159   741	   6984   703
32  	  10315   818	  10093   782	   9947   769	  10239   811	  11624   991	  11656   996	  10286   817	   9977   770
48  	  17472  1119	  16989  1054	  16741  1040	  17244  1090	  20200  1356	  20246  1364	  17430  1119	  16785  1040
64  	  24770  1341	  23972  1250	  23622  1236	  24332  1290	  29126  1666	  29186  1674	  24712  1342	  23681  1237
96  	  40608  1751	  39085  1601	  38532  1588	  39656  1646	  48626  2228	  48716  2236	  40524  1752	  38620  1590
128 	  57154  2174	  54828  1994	  54063  1969	  55611  2044	  69187  2819	  69304  2829	  57040  2173	  54179  1973
192 	  92486  2918	  88267  2562	  87095  2541	  89487  2608	 113562  3996	 113741  4008	  92314  2919	  87268  2542
256 	 129199  3984	 122900  3437	 121313  3410	 124548  3504	 160107  5534	 160346  5545	 128973  3986	 121543  3410
384 	 206530  5371	 195696  4627	 193289  4603	 198197  4680	 258659  7487	 259014  7489	 206192  5372	 193634  4604
512 	 287127  6995	 271381  5926	 268160  5904	 274723  5979	 362052  9987	 362519  9997	 286678  6992	 268619  5904
768 	 456785 10210	 430241  8523	 425383  8501	 435311  8569	 581048 14715	 581753 14728	 456116 10208	 426077  8503
1024	 632190 13267	 594172 10950	 587649 10922	 600976 11010	 808826 19349	 809766 19361	 631292 13262	 588578 10924
