# reps=1000, dist name=reverse, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   7004     9	   6993    12	   6983    11	   6992    13	   4729   743	   4749   740	   6994    12	   6993    12
24  	   6410  1376	   6280  1341	   6181  1331	   6383  1374	   7260  1397	   7284  1399	   6389  1377	   6204  1331
32  	   8797  1823	   8566  1769	   8418  1738	   8715  1811	  10192  1899	  10223  1904	   8768  1819	   8447  1742
48  	  14571  1530	  14082  1437	  13836  1421	  14340  1476	  17163  1738	  17207  1746	  14530  1530	  13880  1422
64  	  20572  1991	  19763  1866	  19407  1836	  20136  1925	  24514  2301	  24576  2309	  20516  1990	  19465  1839
96  	  33218  2500	  31682  2304	  31121  2262	  32273  2376	  39995  3002	  40086  3013	  33134  2498	  31209  2269
128 	  46564  2955	  44172  2648	  43405  2605	  44988  2732	  56449  3745	  56566  3755	  46455  2953	  43523  2609
192 	  74626  3731	  70356  3294	  69189  3235	  71609  3397	  91028  4917	  91209  4929	  74461  3730	  69361  3242
256 	 104278  4794	  97923  4137	  96337  4077	  99617  4245	 127604  6510	 127844  6519	 104059  4791	  96569  4083
384 	 166660  6603	 155671  5532	 153267  5462	 158248  5643	 204854  9350	 205209  9361	 166334  6599	 153611  5471
512 	 231810  8430	 215729  6974	 212506  6903	 219196  7107	 285719 12112	 286192 12124	 231377  8430	 212965  6909
768 	 367958 12166	 340877  9754	 336010  9679	 346095  9879	 454975 17954	 455690 17971	 367303 12162	 336700  9685
1024	 509774 15554	 471170 12513	 464651 12420	 478179 12666	 630973 23153	 631923 23168	 508904 15550	 465567 12435
