# reps=1000, dist name=uniform, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4288   497	   4278   496	   4268   496	   4278   496	   4883   421	   4903   419	   4278   496	   4278   497
24  	   7704   781	   7574   743	   7477   738	   7679   776	   8413   916	   8436   919	   7684   784	   7499   737
32  	  11026   879	  10802   838	  10653   826	  10957   879	  12291  1065	  12321  1069	  10997   880	  10683   827
48  	  18394  1164	  17901  1087	  17654  1077	  18165  1133	  21055  1436	  21100  1442	  18354  1169	  17697  1077
64  	  26072  1370	  25259  1273	  24907  1257	  25632  1318	  30334  1708	  30393  1716	  26016  1370	  24966  1258
96  	  42628  1837	  41080  1669	  40521  1652	  41675  1726	  50510  2418	  50601  2426	  42546  1842	  40608  1653
128 	  59893  2286	  57507  2062	  56742  2038	  58319  2127	  71811  3013	  71932  3021	  59782  2290	  56857  2039
192 	  96398  3163	  92104  2766	  90925  2746	  93361  2830	 117253  4320	 117433  4330	  96233  3165	  91102  2748
256 	 134568  3835	 128214  3380	 126625  3362	 129910  3455	 165080  5220	 165318  5228	 134348  3836	 126855  3364
384 	 214990  6020	 203976  5161	 201563  5148	 206567  5242	 266703  8330	 267064  8339	 214662  6021	 201908  5147
512 	 297993  6865	 282019  5926	 278793  5908	 285483  6008	 372361  9680	 372834  9685	 297551  6864	 279253  5909
768 	 473356 11033	 446413  9248	 441521  9220	 451669  9328	 596842 15650	 597564 15658	 472704 11031	 442214  9217
1024	 654162 13918	 615752 11714	 609235 11672	 622758 11807	 829424 19914	 830372 19936	 653295 13920	 610155 11671
