# reps=1000, dist name=sorted, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   1571     6	   1728     2	   1716     7	   1748     6	   3333   122	   3353   120	   1556     7	   1728     2
24  	   5059   946	   5186   911	   5064   884	   5341   967	   5094   934	   5118   939	   5039   946	   5087   884
32  	   7520  1436	   7630  1380	   7450  1329	   7848  1451	   7600  1422	   7631  1427	   7492  1433	   7480  1333
48  	  13617  1843	  13627  1766	  13315  1714	  13991  1846	  13731  1827	  13777  1834	  13574  1840	  13359  1718
64  	  19910  2094	  19771  2001	  19335  1945	  20281  2087	  20099  2098	  20160  2104	  19856  2093	  19394  1949
96  	  33992  2828	  33457  2671	  32766  2608	  34265  2776	  34241  2875	  34331  2885	  33910  2827	  32853  2615
128 	  48782  3409	  47747  3220	  46800  3147	  48844  3331	  49159  3492	  49276  3503	  48671  3407	  46916  3155
192 	  81101  4610	  78830  4320	  77363  4254	  80502  4427	  81693  4801	  81871  4814	  80937  4609	  77536  4258
256 	 115255  5838	 111560  5483	 109576  5411	 113841  5608	 116059  6102	 116299  6109	 115035  5835	 109805  5418
384 	 187513  8244	 180636  7727	 177637  7643	 184067  7867	 188573  8678	 188929  8688	 187185  8238	 177979  7651
512 	 264044 10186	 253626  9465	 249589  9375	 258217  9612	 265263 11009	 265739 11019	 263605 10183	 250051  9377
768 	 425753 15851	 406997 14711	 400931 14616	 413915 14846	 428053 16944	 428764 16957	 425096 15841	 401612 14623
1024	 596490 21297	 568710 19483	 560548 19381	 578007 19661	 599552 23080	 600506 23097	 595619 21288	 561465 19390
