# reps=1000, dist name=zero-one, dist param=0, TYPE=UINT64, CACHE_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD_CYCLES=144, CALL_OVERHEAD_NS=304330
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=14, STRAIGHT_READER=READ_OPT, STABLE=true
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3372   554	   3862   661	   3852   661	   3551   555	   4403   340	   4425   340	   3363   554	   3863   661
24  	   6187   562	   6574   672	   6466   672	   6458   569	   6770   640	   6791   640	   6165   562	   6489   671
32  	   9301   600	   9591   633	   9393   623	   9638   610	  10421   670	  10453   673	   9270   600	   9425   624
48  	  14412   925	  14830   924	  14587   899	  14795   933	  16376  1041	  16412  1044	  14374   922	  14624   901
64  	  21946  1119	  22168  1169	  21753  1140	  22385  1152	  25340  1301	  25394  1304	  21890  1115	  21811  1143
96  	  35471   806	  35396   850	  34796   837	  35839   819	  41686   941	  41764   943	  35395   807	  34874   838
128 	  52251  1892	  51891  1882	  51027  1814	  52521  1950	  62024  2196	  62129  2205	  52143  1885	  51136  1822
192 	  84796  1717	  83534  1677	  82264  1628	  84587  1717	 102122  2054	 102272  2059	  84643  1714	  82417  1634
256 	 123234  2403	 120792  2411	 118979  2331	 122464  2475	 149290  3015	 149502  3021	 123025  2394	 119195  2340
384 	 198204  3331	 193341  3317	 190685  3217	 195855  3413	 242974  3956	 243279  3965	 197900  3319	 190992  3230
512 	 284143  2998	 276556  3116	 272904  3035	 280009  3197	 349376  3981	 349791  3989	 283721  2991	 273321  3049
768 	 453893  6986	 439942  6856	 434583  6640	 445118  7074	 564011  8441	 564622  8468	 453279  6965	 435193  6661
1024	 645672  4061	 624610  4427	 617220  4361	 631868  4478	 803859  6071	 804682  6081	 644840  4057	 618046  4364
