# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5074   621	   5875   743	   5864   743	   5250   622	   5594   584	   5616   582	   5063   622	   5875   744
24  	   8989   943	   9776  1007	   9654   999	   9268   959	   9681  1029	   9705  1031	   8967   946	   9677   999
32  	  12901  1093	  13876  1147	  13689  1141	  13219  1099	  14023  1181	  14055  1183	  12871  1095	  13720  1141
48  	  21440  1429	  22737  1502	  22431  1493	  21823  1438	  23417  1515	  23462  1517	  21399  1432	  22475  1493
64  	  30227  1674	  31766  1758	  31331  1745	  30622  1686	  33230  1756	  33289  1757	  30170  1676	  31389  1745
96  	  49380  2346	  51202  2411	  50508  2395	  49660  2309	  54578  2517	  54670  2522	  49294  2347	  50597  2397
128 	  68913  2611	  70908  2657	  69964  2645	  69024  2569	  76564  2751	  76680  2756	  68800  2611	  70080  2644
192 	 110089  3766	 112102  3771	 110659  3755	 109619  3687	 122993  3908	 123169  3911	 109922  3766	 110831  3754
256 	 152736  4612	 154506  4591	 152572  4567	 151468  4507	 171508  4817	 171744  4822	 152508  4611	 152804  4567
384 	 241799  6449	 242360  6214	 239424  6189	 238613  6131	 273222  6817	 273567  6818	 241460  6449	 239768  6195
512 	 333174  8995	 331769  8495	 327868  8462	 327542  8464	 378653  9557	 379122  9563	 332753  8992	 328337  8460
768 	 524299 13131	 517816 12379	 511941 12354	 513283 12326	 599684 13739	 600370 13736	 523625 13126	 512615 12363
1024	 718238 15647	 705445 14717	 697649 14685	 700999 14703	 826685 16490	 827578 16496	 717357 15639	 698550 14689
