# reps=1000, dist name=almost, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   2975   561	   2965   561	   2965   560	   2987   560	   3711   407	   3732   405	   2965   560	   2976   561
24  	   5593   858	   5599   857	   5572   860	   5727   894	   5537   859	   5561   862	   5572   861	   5582   856
32  	   8041  1179	   8054  1182	   8012  1178	   8239  1236	   8052  1206	   8083  1211	   8012  1178	   8021  1175
48  	  13269  1524	  13304  1527	  13226  1523	  13603  1586	  13476  1579	  13523  1586	  13226  1524	  13234  1521
64  	  19141  1784	  19199  1787	  19085  1784	  19623  1853	  19631  1879	  19690  1886	  19085  1783	  19091  1780
96  	  30610  2403	  30710  2410	  30527  2403	  31362  2488	  31676  2565	  31767  2573	  30526  2402	  30532  2399
128 	  42927  2736	  43063  2748	  42818  2735	  43952  2821	  44723  2995	  44840  3003	  42818  2737	  42819  2730
192 	  68849  3824	  69073  3831	  68684  3822	  70433  3930	  72237  4259	  72416  4269	  68685  3823	  68684  3815
256 	  96517  4494	  96820  4504	  96294  4495	  98650  4596	 101718  5130	 101959  5140	  96297  4493	  96292  4488
384 	 154057  6417	 154531  6429	 153730  6420	 157304  6543	 163326  7423	 163684  7439	 153731  6422	 153717  6410
512 	 214541  8295	 215179  8311	 214097  8294	 218889  8428	 228155  9754	 228634  9767	 214096  8290	 214080  8282
768 	 340628 11518	 341596 11539	 339963 11513	 347182 11664	 364080 13727	 364788 13743	 339962 11515	 339934 11514
1024	 472594 15487	 473902 15508	 471720 15487	 481374 15639	 506470 18626	 507415 18643	 471715 15483	 471665 15476
