# reps=1000, dist name=normal, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3923   498	   3912   499	   3912   499	   3935   499	   4278   362	   4299   361	   3913   499	   3923   499
24  	   7439   767	   7444   765	   7417   769	   7570   795	   7435   781	   7457   784	   7417   769	   7427   766
32  	  10747   863	  10763   865	  10717   862	  10940   901	  10847   892	  10877   896	  10718   862	  10727   861
48  	  18297  1172	  18332  1177	  18253  1172	  18626  1216	  18699  1240	  18745  1247	  18252  1172	  18262  1170
64  	  26106  1363	  26166  1367	  26049  1363	  26573  1410	  26891  1467	  26953  1475	  26048  1362	  26057  1360
96  	  42865  1798	  42966  1802	  42779  1800	  43597  1848	  44547  1956	  44634  1967	  42779  1799	  42787  1796
128 	  60411  2213	  60552  2217	  60299  2214	  61411  2271	  63104  2467	  63221  2475	  60300  2213	  60305  2211
192 	  97964  2936	  98195  2947	  97796  2940	  99508  2996	 103074  3380	 103250  3389	  97799  2939	  97801  2934
256 	 137003  3972	 137320  3989	 136771  3971	 139086  4028	 144774  4714	 145012  4725	 136770  3969	 136777  3964
384 	 219713  5503	 220202  5521	 219371  5504	 222887  5574	 233385  6515	 233738  6525	 219374  5504	 219369  5501
512 	 305891  7036	 306553  7059	 305441  7031	 310146  7120	 326005  8421	 326474  8427	 305439  7034	 305431  7031
768 	 486832 10197	 487825 10210	 486149 10200	 493270 10289	 521035 12268	 521736 12278	 486155 10198	 486141 10195
1024	 675056 12515	 676416 12537	 674143 12515	 683648 12606	 724914 15368	 725854 15392	 674151 12516	 674123 12511
