# reps=1000, dist name=reverse, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   7003     9	   6992    12	   6992    12	   7014    10	   4415   770	   4436   766	   6992    12	   7004     9
24  	   6716  1370	   6721  1369	   6694  1372	   6851  1405	   6737  1366	   6761  1367	   6694  1371	   6703  1368
32  	   9259  1834	   9273  1840	   9229  1832	   9454  1886	   9379  1837	   9409  1843	   9228  1832	   9239  1830
48  	  15348  1548	  15384  1551	  15306  1546	  15680  1594	  15724  1616	  15768  1624	  15307  1547	  15315  1544
64  	  21684  2064	  21739  2071	  21628  2063	  22163  2129	  22374  2169	  22435  2179	  21628  2064	  21634  2059
96  	  35003  2571	  35100  2582	  34918  2571	  35752  2654	  36424  2739	  36517  2749	  34919  2571	  34923  2566
128 	  48847  3009	  48986  3022	  48736  3008	  49873  3096	  51140  3325	  51258  3337	  48736  3006	  48739  3002
192 	  78287  3871	  78512  3890	  78117  3868	  79861  3976	  82479  4374	  82657  4388	  78121  3867	  78119  3864
256 	 109210  4969	 109514  4981	 108988  4967	 111346  5076	 115481  5716	 115719  5730	 108988  4965	 108986  4965
384 	 174426  6621	 174903  6634	 174096  6624	 177672  6738	 185437  7803	 185794  7817	 174095  6624	 174081  6614
512 	 241847  8751	 242494  8778	 241402  8747	 246192  8881	 257879 10435	 258354 10450	 241403  8745	 241387  8739
768 	 383071 12525	 384046 12552	 382410 12523	 389641 12670	 409990 15213	 410705 15230	 382408 12525	 382376 12516
1024	 529882 14778	 531182 14806	 529008 14771	 538667 14907	 568480 18222	 569429 18232	 529004 14772	 528960 14769
