# reps=1000, dist name=uniform, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4289   497	   4278   497	   4278   497	   4301   497	   4604   409	   4625   407	   4278   497	   4289   496
24  	   7956   815	   7959   813	   7935   817	   8093   847	   7947   836	   7970   837	   7935   817	   7944   814
32  	  11443   933	  11458   931	  11415   935	  11646   980	  11524   958	  11554   961	  11416   935	  11424   930
48  	  19197  1204	  19232  1204	  19156  1207	  19533  1252	  19584  1273	  19630  1281	  19155  1206	  19163  1202
64  	  27291  1390	  27349  1392	  27237  1392	  27765  1441	  28059  1488	  28120  1495	  27236  1392	  27243  1388
96  	  44787  1859	  44884  1863	  44701  1861	  45535  1918	  46427  2048	  46517  2057	  44704  1859	  44710  1854
128 	  62968  2380	  63106  2386	  62856  2380	  63993  2449	  65656  2689	  65776  2698	  62858  2382	  62860  2375
192 	 101849  3215	 102073  3223	 101682  3215	 103435  3297	 106940  3678	 107119  3692	 101684  3219	 101682  3210
256 	 142333  3999	 142643  4002	 142111  3998	 144467  4082	 150066  4573	 150304  4587	 142113  3997	 142106  3996
384 	 227817  5561	 228287  5562	 227493  5565	 231066  5646	 241362  6529	 241715  6543	 227490  5561	 227480  5556
512 	 316219  6767	 316848  6779	 315773  6763	 320561  6858	 336217  8133	 336694  8147	 315775  6767	 315758  6763
768 	 503704 10715	 504671 10725	 503045 10713	 510284 10795	 537936 12963	 538649 12970	 503045 10719	 503006 10705
1024	 696580 13906	 697878 13922	 695708 13913	 705376 14006	 746018 16992	 746962 16995	 695708 13913	 695660 13908
