# reps=1000, dist name=zero-one, dist param=0, TYPE=UINT64, CACHE_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD_CYCLES=144, CALL_OVERHEAD_NS=304330
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=14, STRAIGHT_READER=READ_OPT, STABLE=true
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3871   661	   3862   661	   3863   661	   3551   554	   4306   329	   4334   328	   3863   661	   3873   661
24  	   6962   666	   6958   661	   6939   666	   6876   564	   6654   617	   6684   617	   6940   666	   6950   666
32  	  10415   678	  10420   686	  10383   677	  10532   672	  10055   632	  10099   636	  10382   677	  10393   676
48  	  16158   993	  16155  1033	  16121   989	  16211  1038	  15766   943	  15816   950	  16121   989	  16132   989
64  	  24611  1276	  24613  1283	  24552  1272	  24993  1282	  24193  1221	  24272  1227	  24553  1271	  24564  1272
96  	  39709   879	  39738   984	  39632   877	  40401   864	  39474   910	  39586   913	  39632   878	  39642   878
128 	  58637  2052	  58680  2093	  58531  2044	  59622  2149	  58467  1980	  58619  1995	  58529  2045	  58541  2047
192 	  95187  1891	  95260  2089	  95032  1884	  96778  1959	  95717  1985	  95941  1993	  95032  1884	  95043  1883
256 	 138335  2702	 138484  2917	 138125  2698	 140779  2824	 139423  2785	 139738  2796	 138123  2699	 138139  2699
384 	 222921  3588	 223045  3936	 222616  3576	 226579  3741	 226056  3778	 226509  3793	 222617  3578	 222625  3577
512 	 319739  3372	 319910  4011	 319319  3364	 324796  3504	 324586  3841	 325208  3846	 319322  3362	 319333  3363
768 	 511470  7697	 511652  8250	 510861  7666	 519002  8020	 521833  8003	 522737  8034	 510864  7667	 510876  7665
1024	 727702  4251	 728044  5979	 726867  4241	 738225  4359	 743094  5832	 744330  5831	 726868  4241	 726884  4244
