# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5885   743	   5875   744	   5875   743	   5251   622	   5540   573	   5566   573	   5875   743	   5886   743
24  	  10169  1048	  10159  1044	  10147  1050	   9696  1021	   9589   985	   9619   989	  10148  1049	  10157  1047
32  	  14559  1202	  14573  1214	  14532  1203	  13965  1202	  13818  1140	  13862  1143	  14531  1202	  14540  1199
48  	  24062  1550	  24059  1556	  24021  1553	  23266  1534	  22946  1464	  23009  1466	  24021  1553	  24029  1551
64  	  33788  1776	  33769  1789	  33730  1777	  32803  1760	  32401  1677	  32485  1682	  33729  1777	  33738  1773
96  	  54992  2499	  55016  2576	  54908  2497	  53750  2483	  53055  2442	  53187  2451	  54906  2498	  54914  2495
128 	  76681  2835	  76718  2950	  76567  2835	  75152  2803	  74301  2784	  74477  2795	  76566  2835	  76575  2831
192 	 121997  3738	 121979  3946	 121826  3739	 120040  3724	 118692  3803	 118952  3812	 121826  3737	 121833  3736
256 	 169149  4627	 169291  4920	 168924  4627	 166915  4630	 165371  4707	 165726  4724	 168924  4631	 168925  4620
384 	 267348  6888	 267332  7385	 267010  6883	 264793  6860	 262617  7146	 263135  7157	 267011  6885	 267020  6881
512 	 368025  9007	 368345  9857	 367571  9007	 365461  8959	 363116  9671	 363804  9677	 367574  9009	 367575  9008
768 	 577477 13093	 577830 14349	 576806 13091	 575442 13084	 572571 14119	 573594 14129	 576806 13085	 576806 13091
1024	 790347 15773	 790565 17535	 789454 15767	 789225 15920	 786366 17225	 787717 17245	 789455 15773	 789455 15780
