# reps=1000, dist name=sorted, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   1379     7	   1376     2	   1363     6	   1376     2	   2396   107	   2416   102	   1375     2	   1376     2
24  	   4030   830	   3834   729	   3760   742	   3987   819	   4072   910	   4097   913	   4017   844	   3777   738
32  	   6106  1337	   5750  1175	   5638  1177	   5987  1300	   6280  1462	   6311  1468	   6089  1351	   5662  1173
48  	  10735  1754	  10022  1529	   9827  1531	  10410  1658	  11226  1926	  11275  1934	  10709  1768	   9865  1526
64  	  15710  2213	  14588  1915	  14310  1910	  15128  2055	  16629  2445	  16693  2454	  15676  2226	  14360  1905
96  	  26641  2932	  24550  2550	  24109  2548	  25403  2704	  28427  3408	  28525  3419	  26588  2947	  24183  2543
128 	  38508  3966	  35314  3409	  34709  3408	  36489  3591	  41342  4536	  41472  4547	  38438  3986	  34807  3403
192 	  63753  5552	  58173  4759	  57245  4762	  59978  4950	  68934  6491	  69125  6504	  63655  5572	  57389  4753
256 	  91063  7191	  82740  6091	  81487  6091	  85182  6293	  98714  8307	  98967  8320	  90930  7216	  81681  6085
384 	 148402 10032	 134315  8494	 132411  8489	 137989  8666	 161789 11887	 162166 11899	 148203 10052	 132702  8485
512 	 209354 14144	 188926 11898	 186377 11897	 193871 12086	 228768 16459	 229267 16470	 209090 14162	 186763 11891
768 	 337511 20107	 303502 16773	 299636 16788	 310939 16984	 369729 23389	 370485 23398	 337111 20133	 300213 16774
1024	 473557 27638	 424917 22951	 419758 22955	 434945 23178	 519952 31577	 520970 31593	 473035 27657	 420527 22943
