# reps=1000, dist name=uniform, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4288   497	   4278   497	   4267   496	   4278   497	   4358   503	   4377   499	   4278   497	   4279   497
24  	   7421   864	   7218   782	   7144   803	   7377   848	   7638   916	   7663   917	   7408   878	   7164   796
32  	  10760  1096	  10393   964	  10282   989	  10633  1059	  11233  1203	  11264  1206	  10743  1114	  10306   980
48  	  17875  1463	  17159  1278	  16964  1300	  17549  1384	  19042  1638	  19091  1645	  17850  1480	  17001  1292
64  	  25466  1824	  24337  1605	  24059  1633	  24885  1719	  27494  2137	  27558  2144	  25433  1846	  24110  1624
96  	  41902  2631	  39804  2258	  39366  2285	  40663  2387	  45818  3073	  45914  3079	  41849  2655	  39440  2274
128 	  59123  3403	  55920  2898	  55308  2929	  57093  3019	  65128  3926	  65256  3938	  59055  3426	  55406  2918
192 	  95563  5027	  89952  4249	  89026  4276	  91759  4385	 106146  5752	 106336  5762	  95465  5053	  89171  4264
256 	 134176  6418	 125908  5355	 124651  5377	 128331  5491	 149919  7417	 150171  7419	 134037  6438	 124845  5371
384 	 215773  9807	 201660  8185	 199732  8206	 205330  8332	 243042 11450	 243421 11466	 215565  9827	 200024  8193
512 	 301352 12500	 280877 10571	 278306 10591	 285818 10727	 340771 15164	 341272 15175	 301085 12528	 278701 10582
768 	 480700 19538	 446831 16266	 442972 16294	 454294 16415	 547600 22791	 548368 22809	 480302 19566	 443547 16279
1024	 666111 25493	 617866 21235	 612688 21280	 627851 21382	 761368 29813	 762378 29823	 665579 25526	 613464 21261
