# reps=1000, dist name=reverse, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   8494    10	   9967    11	   9955    13	   8672    11	   5672  1581	   5702  1579	   8484    13	   9968    11
24  	   7432  1879	   8106  2123	   8035  2134	   7895  1933	   8273  2028	   8314  2034	   7418  1889	   8055  2130
32  	  10210  2434	  10974  2637	  10861  2636	  10867  2536	  11525  2712	  11585  2728	  10194  2444	  10886  2634
48  	  16606  2291	  17650  2443	  17452  2485	  17638  2408	  18930  2712	  19019  2727	  16579  2304	  17489  2481
64  	  23639  2929	  24939  3029	  24656  3135	  25058  3135	  27139  3597	  27262  3617	  23607  2946	  24704  3129
96  	  38669  3662	  40512  3728	  40043  3880	  40836  3916	  44691  4722	  44881  4743	  38616  3677	  40115  3875
128 	  54955  4621	  57344  4651	  56700  4858	  57888  4939	  63779  6055	  64035  6079	  54888  4642	  56798  4851
192 	  89640  6525	  93086  6524	  92042  6815	  94061  6903	 104460  8651	 104852  8673	  89537  6544	  92190  6809
256 	 126690  8606	 131230  8578	 129844  9051	 132647  9172	 148123 11617	 148645 11643	 126557  8626	 130039  9042
384 	 204508 12089	 211173 12123	 209304 13181	 213712 13206	 240503 17373	 241294 17401	 204305 12112	 209601 13183
512 	 287019 16595	 295862 16552	 293519 17760	 299504 17795	 338553 23355	 339609 23385	 286748 16618	 293901 17752
768 	 460611 25095	 473663 25084	 469318 26502	 478605 26430	 542917 34647	 544508 34672	 460219 25111	 469895 26499
1024	 641733 29732	 659033 29752	 653792 33161	 666423 33009	 758897 44812	 761040 44855	 641210 29760	 654567 33161
