# reps=1000, dist name=zero-one, dist param=0, TYPE=UINT64, CACHE_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD_CYCLES=144, CALL_OVERHEAD_NS=304330
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=false, MERGE_THRESHOLD=14, STRAIGHT_READER=READ_OPT, STABLE=true
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3350   553	   3840   661	   3830   661	   3529   554	   3883   344	   3916   343	   3341   555	   3841   661
24  	   5519   561	   5994   665	   5918   653	   5918   551	   6183   616	   6216   616	   5497   561	   5940   653
32  	   8014   557	   8504   624	   8366   623	   8628   573	   9219   728	   9273   736	   7983   557	   8399   623
48  	  12758   701	  13533   767	  13346   764	  13603   737	  14893   978	  14957   991	  12722   699	  13383   765
64  	  19042   871	  19928   932	  19639   909	  20291   905	  22720  1131	  22820  1138	  18986   868	  19695   913
96  	  30981   777	  32178   814	  31751   798	  32832   790	  37668  1176	  37813  1183	  30903   776	  31830   798
128 	  45487  1368	  47101  1398	  46529  1364	  48065  1452	  55894  1942	  56096  1959	  45380  1360	  46635  1369
192 	  74647  1536	  76961  1531	  76091  1579	  78470  1670	  93031  2451	  93326  2460	  74497  1529	  76246  1582
256 	 107782  1882	 110747  1895	 109537  1845	 113037  1962	 135191  2918	 135602  2928	 107567  1877	 109753  1852
384 	 175584  3204	 179947  3202	 178161  3225	 183384  3409	 222600  4973	 223202  4996	 175276  3193	 178467  3236
512 	 250190  2806	 256008  2809	 253506  2824	 260646  2937	 318356  5033	 319178  5042	 249773  2797	 253923  2835
768 	 404597  6330	 413211  6315	 409687  6607	 420349  7003	 519478 10198	 520682 10231	 403985  6303	 410298  6626
1024	 572017  5183	 583430  5180	 578353  4937	 593017  5001	 736007  9222	 737655  9216	 571182  5170	 579180  4942
