# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5052   623	   5853   743	   5842   744	   5229   621	   5368   667	   5399   666	   5041   622	   5853   744
24  	   8534  1029	   9422  1111	   9339  1118	   8990  1067	   9385  1141	   9428  1147	   8519  1040	   9359  1114
32  	  12176  1190	  13341  1253	  13215  1249	  12821  1231	  13572  1367	  13632  1379	  12153  1203	  13243  1243
48  	  20179  1708	  21883  1772	  21666  1749	  21197  1750	  22799  2012	  22891  2027	  20146  1721	  21707  1744
64  	  28608  2136	  30847  2188	  30482  2121	  29935  2136	  32500  2494	  32619  2510	  28565  2149	  30536  2116
96  	  46392  3008	  49589  3055	  49054  2909	  48472  2934	  53461  3529	  53647  3548	  46322  3020	  49135  2905
128 	  64949  3896	  69078  3965	  68380  3896	  67794  3898	  75580  4818	  75831  4837	  64860  3907	  68492  3890
192 	 103538  5325	 109450  5338	 108303  5054	 107738  5128	 121667  6343	 122039  6362	 103397  5340	 108465  5048
256 	 143736  7020	 151322  7064	 149810  6900	 149373  6932	 170279  8806	 170772  8824	 143543  7030	 150037  6899
384 	 227682 10018	 238335 10072	 236251  9819	 236332  9829	 272868 12612	 273602 12634	 227380 10019	 236589  9816
512 	 313389 13997	 326774 14060	 323871 13407	 324752 13412	 377870 16960	 378842 16979	 312972 14000	 324313 13399
768 	 491976 20496	 510328 20517	 505603 19893	 508474 19929	 597889 25688	 599317 25697	 491338 20499	 506283 19895
1024	 674504 26406	 697255 26359	 691080 25849	 696476 25985	 825141 33667	 827022 33688	 673654 26405	 691975 25856
