# reps=1000, dist name=normal, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3923   498	   3913   499	   3901   498	   3912   499	   4327   460	   4252   439	   3912   499	   3913   499
24  	   6691   737	   6710   729	   6618   736	   6835   775	   7666   938	   7506   869	   6859   794	   6638   733
32  	   9571   860	   9613   849	   9467   858	   9797   908	  11343  1163	  11041  1057	   9882   937	   9495   853
48  	  16060  1190	  16141  1177	  15892  1188	  16461  1252	  19762  1677	  19098  1500	  16735  1327	  15932  1181
64  	  22790  1558	  22914  1543	  22561  1553	  23364  1631	  28754  2412	  27649  2100	  23913  1809	  22615  1546
96  	  37387  2149	  37596  2138	  37034  2138	  38294  2231	  48173  3323	  46160  2880	  39424  2487	  37115  2134
128 	  52683  2888	  52977  2875	  52204  2882	  53942  2965	  68999  4520	  65895  3891	  55820  3379	  52313  2873
192 	  85359  4102	  85819  4094	  84634  4089	  87293  4186	 113753  6484	 108278  5537	  90884  4798	  84796  4086
256 	 119430  5024	 120063  5015	 118454  5010	 122043  5110	 160922  8123	 152879  6876	 127532  5921	 118674  5008
384 	 191323  8100	 192294  8085	 189857  8095	 195285  8175	 261720 13419	 247886 11301	 205243  9730	 190184  8087
512 	 267361 10903	 268671 10901	 265381 10896	 272721 11000	 368557 17940	 348597 15093	 287446 13020	 265825 10890
768 	 425424 15606	 427414 15596	 422452 15604	 433505 15684	 593568 25775	 560113 21663	 459057 18685	 423110 15602
1024	 591589 20074	 594254 20061	 587617 20069	 602389 20158	 831125 33207	 783177 27868	 639783 23986	 588497 20061
