# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4239   500	   4229   501	   4217   500	   4228   501	   4576   478	   4503   460	   4229   501	   4228   501
24  	   7045   797	   7065   788	   6970   797	   7200   839	   8019   983	   7852   918	   7220   850	   6989   792
32  	   9952   897	   9995   887	   9845   893	  10191   951	  11730  1199	  11419  1096	  10275   972	   9873   888
48  	  16324  1228	  16410  1221	  16154  1223	  16733  1296	  19988  1697	  19325  1530	  17005  1352	  16197  1217
64  	  22936  1519	  23059  1508	  22705  1515	  23512  1597	  28699  2152	  27647  1918	  24007  1686	  22758  1508
96  	  36781  2054	  36990  2047	  36428  2046	  37692  2133	  47468  2934	  45487  2578	  38788  2289	  36510  2041
128 	  51100  2579	  51393  2572	  50628  2571	  52329  2661	  67176  3853	  64178  3328	  54127  2930	  50737  2566
192 	  81150  3587	  81610  3583	  80438  3577	  83018  3663	 109084  5497	 103884  4705	  86392  4115	  80601  3571
256 	 112268  4626	 112897  4620	 111315  4616	 114762  4713	 153574  7469	 145854  6296	 120034  5451	 111537  4612
384 	 176852  6510	 177828  6521	 175426  6491	 180578  6592	 246743 10430	 233761  8737	 189891  7604	 175761  6493
512 	 242441  9109	 243761  9104	 240547  9103	 247348  9174	 343321 14521	 324689 12176	 261128 10640	 240998  9097
768 	 378904 13478	 380917 13481	 376083 13465	 386156 13535	 546798 21787	 516049 18213	 409707 15900	 376758 13460
1024	 517465 16500	 520146 16512	 513743 16476	 526971 16575	 757369 26620	 713788 22203	 561093 19262	 514644 16481
