# reps=1000, dist name=almost, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3983   819	   3972   820	   3961   820	   3634   690	   4364   655	   4488   671	   3469   690	   3973   819
24  	   6764  1286	   6586  1216	   6497  1229	   6554  1243	   6749  1302	   6983  1390	   6296  1248	   6517  1223
32  	   9754  1645	   9430  1537	   9293  1537	   9467  1621	   9819  1686	  10233  1831	   9175  1639	   9317  1532
48  	  16167  2262	  15497  2108	  15260  2106	  15725  2216	  16314  2317	  17143  2536	  15418  2264	  15297  2100
64  	  23410  2899	  22335  2709	  21999  2701	  22694  2834	  23736  2950	  25040  3228	  22435  2906	  22048  2695
96  	  38141  4135	  36142  3828	  35611  3822	  36908  3979	  38657  4239	  41024  4692	  36858  4147	  35684  3816
128 	  54670  5310	  51603  4896	  50868  4881	  52734  5050	  55438  5481	  59017  6123	  53038  5322	  50964  4875
192 	  89053  7361	  83645  6773	  82516  6758	  85586  6959	  90213  7646	  96412  8606	  86790  7386	  82661  6752
256 	 126494  9983	 118546  9209	 117013  9189	 121208  9444	 128025 10284	 137045 11557	 123528 10025	 117210  9182
384 	 204365 13533	 190738 12561	 188413 12547	 195029 12738	 206722 13880	 221989 15702	 200192 13566	 188704 12543
512 	 287440 19011	 267706 17461	 264576 17441	 273597 17663	 290474 19657	 312407 22253	 282010 19041	 264972 17436
768 	 464762 28293	 431543 25786	 426842 25782	 440717 25999	 469322 29667	 505837 33756	 456873 28331	 427421 25774
1024	 652328 37157	 604783 33673	 598491 33677	 617306 33889	 658190 39156	 710143 44613	 641996 37198	 599263 33666
