# reps=1000, dist name=zero-one, dist param=0, TYPE=UINT64, CACHE_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD_CYCLES=144, CALL_OVERHEAD_NS=304330
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=14, STRAIGHT_READER=READ_OPT, STABLE=true
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3849   661	   3840   661	   3829   661	   3506   554	   4059   359	   4184   369	   3341   554	   3841   661
24  	   6121   658	   6005   665	   5916   665	   5894   562	   6416   642	   6587   658	   5634   554	   5938   665
32  	   8766   629	   8525   625	   8365   620	   8602   571	   9644   676	   9992   704	   8277   567	   8397   621
48  	  13989   777	  13562   775	  13362   767	  13596   743	  15572   850	  16134   895	  13221   726	  13400   768
64  	  20699   961	  19949   963	  19619   943	  20254   936	  23756  1133	  24734  1211	  19839   901	  19676   945
96  	  33602   836	  32228   845	  31750   835	  32805   833	  39395   939	  41103  1086	  32447   800	  31826   836
128 	  49402  1424	  47284  1439	  46604  1395	  48095  1487	  58627  1771	  61224  1956	  47847  1411	  46711  1400
192 	  80814  1571	  77059  1536	  76052  1501	  78414  1588	  97429  1952	 101900  2319	  78632  1572	  76207  1505
256 	 116614  2003	 111000  2035	 109571  1975	 113065  2125	 141927  2720	 148553  3152	 113837  2007	 109785  1985
384 	 189864  3259	 180249  3192	 178155  3128	 183357  3305	 233551  4105	 244655  4887	 185778  3275	 178468  3134
512 	 270357  2719	 256434  2840	 253578  2791	 260695  2933	 334321  3994	 350276  5046	 264918  2724	 253996  2795
768 	 436703  6608	 413392  6560	 409188  6407	 419789  6818	 544682  8172	 570988  9600	 428653  6647	 409798  6422
1024	 617882  5115	 584466  5427	 578697  5408	 593348  5464	 773486  7304	 811032  9629	 607272  5113	 579533  5407
