# reps=1000, dist name=reverse, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   7004    10	   6993    12	   6993    13	   7014    10	   4537  1130	   4554  1122	   6994    13	   7005     9
24  	   6654  1530	   6646  1515	   6640  1539	   6829  1578	   6692  1535	   6716  1536	   6640  1539	   6643  1530
32  	   9174  2033	   9169  2016	   9156  2044	   9441  2120	   9336  2067	   9367  2073	   9157  2043	   9155  2031
48  	  14848  1949	  14859  1931	  14822  1961	  15285  2032	  15321  2064	  15365  2068	  14823  1962	  14817  1949
64  	  21070  2594	  21090  2572	  21038  2611	  21688  2704	  21930  2805	  21991  2810	  21037  2610	  21024  2594
96  	  34229  3229	  34275  3211	  34176  3245	  35196  3348	  35963  3606	  36053  3612	  34175  3245	  34155  3228
128 	  48263  3910	  48324  3891	  48192  3924	  49589  4038	  50973  4433	  51091  4441	  48193  3924	  48158  3907
192 	  78304  5722	  78411  5700	  78201  5744	  80338  5858	  83312  6636	  83489  6640	  78201  5742	  78149  5723
256 	 110065  7476	 110226  7450	 109937  7502	 112838  7641	 117643  8742	 117880  8751	 109933  7498	 109853  7478
384 	 176281 10467	 176535 10450	 176074 10486	 180432 10628	 189319 12445	 189676 12461	 176076 10488	 175954 10465
512 	 246339 13970	 246690 13939	 246075 14004	 251911 14152	 265426 16637	 265899 16650	 246071 13999	 245905 13972
768 	 392844 20449	 393386 20447	 392440 20474	 401252 20612	 424897 24656	 425601 24658	 392443 20476	 392189 20449
1024	 546010 27101	 546755 27071	 545477 27128	 557299 27277	 591932 32823	 592884 32825	 545482 27130	 545135 27104
