# reps=1000, dist name=sorted, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   1732     7	   1728     2	   1728     2	   1748     7	   2957   108	   2981   103	   1728     2	   1732     8
24  	   5256  1102	   5231  1087	   5243  1117	   5496  1195	   4977  1022	   5010  1027	   5243  1117	   5246  1104
32  	   8059  1797	   8023  1778	   8043  1811	   8424  1938	   7647  1670	   7691  1679	   8043  1811	   8042  1797
48  	  14285  2355	  14241  2343	  14259  2370	  14890  2504	  13612  2224	  13680  2234	  14259  2370	  14254  2355
64  	  21042  2987	  21025  2984	  21009  3001	  21886  3150	  20161  2852	  20251  2863	  21007  3000	  20998  2985
96  	  35860  4077	  35780  4137	  35807  4094	  37194  4256	  34432  3982	  34568  3997	  35807  4095	  35786  4076
128 	  52094  5309	  51995  5440	  52027  5331	  53933  5503	  50176  5266	  50362  5281	  52026  5329	  51994  5309
192 	  86916  7624	  86871  7811	  86812  7642	  89734  7825	  84069  7643	  84349  7660	  86812  7641	  86758  7621
256 	 124413 10083	 124328 10345	 124278 10102	 128232 10295	 120526 10185	 120906 10200	 124278 10104	 124201 10082
384 	 203203 14444	 203195 15050	 202997 14455	 208927 14643	 197533 14868	 198098 14887	 202996 14454	 202880 14437
512 	 287639 20033	 287286 20579	 287374 20058	 295381 20271	 279689 20368	 280441 20389	 287375 20061	 287203 20033
768 	 465487 27978	 465187 29640	 465090 28006	 477147 28186	 453733 29478	 454869 29502	 465094 28010	 464835 27980
1024	 653170 37137	 652549 38220	 652631 37162	 668823 37350	 637183 38084	 638693 38106	 652639 37163	 652286 37141
