# reps=1000, dist name=uniform, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5953   738	   5942   738	   5943   738	   5309   618	   5506   752	   5529   747	   5943   739	   5954   738
24  	  10157  1193	  10128  1172	  10144  1207	   9711  1193	   9586  1130	   9618  1132	  10144  1206	  10146  1194
32  	  14785  1498	  14732  1477	  14768  1514	  14226  1574	  13985  1426	  14028  1429	  14768  1515	  14768  1501
48  	  24598  1996	  24557  2005	  24572  2014	  23833  2090	  23470  1945	  23536  1950	  24572  2014	  24565  1998
64  	  35211  2544	  35183  2613	  35178  2565	  34238  2625	  33749  2539	  33840  2545	  35176  2566	  35165  2549
96  	  58086  3758	  58067  3864	  58035  3784	  56653  3896	  56010  3779	  56145  3789	  58037  3783	  58014  3764
128 	  82224  4943	  82133  5102	  82158  4967	  80443  5053	  79529  4974	  79714  4983	  82155  4965	  82124  4948
192 	 133084  7191	 132936  7343	 132984  7216	 130506  7333	 129306  7286	 129583  7291	 132987  7213	 132927  7194
256 	 187697  9233	 187668  9662	 187566  9264	 184249  9364	 183008  9532	 183385  9542	 187566  9267	 187483  9240
384 	 301649 13479	 301413 13857	 301447 13500	 296666 13671	 294938 13722	 295507 13729	 301445 13503	 301321 13478
512 	 421357 18288	 421093 18950	 421095 18312	 414744 18439	 413098 18696	 413848 18713	 421096 18310	 420924 18290
768 	 673566 26499	 673650 27539	 673150 26520	 663647 26560	 662631 27277	 663758 27288	 673162 26517	 672905 26501
1024	 936496 35281	 936677 36521	 935961 35310	 923203 35363	 923025 36301	 924549 36308	 935962 35302	 935616 35284
