# reps=1000, dist name=zero-one, dist param=0, TYPE=UINT64, CACHE_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD_CYCLES=144, CALL_OVERHEAD_NS=304330
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=14, STRAIGHT_READER=READ_OPT, STABLE=true
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3871   660	   3861   660	   3863   661	   3551   555	   3873   340	   3900   339	   3863   661	   3874   661
24  	   6415   660	   6410   653	   6392   659	   6348   559	   6166   607	   6194   607	   6392   660	   6403   660
32  	   9365   662	   9367   682	   9332   661	   9518   627	   9104   629	   9148   633	   9332   661	   9343   661
48  	  14942   819	  14930   854	  14904   819	  15066   835	  14679   785	  14729   791	  14904   818	  14914   818
64  	  22408  1035	  22421  1072	  22348  1033	  22857  1034	  22227  1032	  22306  1038	  22349  1032	  22360  1033
96  	  36596   828	  36604   966	  36518   825	  37385   827	  36679   908	  36789   913	  36519   825	  36530   825
128 	  53948  1560	  53987  1671	  53844  1553	  55062  1645	  54284  1592	  54438  1605	  53842  1552	  53853  1552
192 	  88827  1677	  88878  1909	  88674  1672	  90614  1765	  90040  1848	  90264  1858	  88672  1674	  88683  1672
256 	 128480  2139	 128578  2511	 128266  2132	 131164  2251	 130559  2438	 130874  2453	 128268  2131	 128278  2132
384 	 210056  3430	 210199  3924	 209752  3418	 214075  3585	 214605  3845	 215064  3851	 209752  3422	 209760  3418
512 	 299590  2820	 299743  3893	 299172  2814	 305080  2944	 306557  3815	 307180  3821	 299174  2816	 299186  2813
768 	 485494  6926	 485726  7942	 484891  6901	 493722  7265	 498724  7773	 499631  7809	 484887  6900	 484897  6901
1024	 687454  4582	 687881  6933	 686628  4585	 698811  4638	 707275  6938	 708499  6937	 686629  4577	 686640  4580
