# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=RANDOM, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5886   743	   5875   744	   5875   743	   5251   622	   5369   679	   5393   676	   5875   744	   5886   743
24  	   9907  1183	   9882  1167	   9891  1193	   9483  1155	   9362  1118	   9395  1122	   9892  1193	   9895  1185
32  	  14152  1347	  14132  1327	  14129  1359	  13652  1382	  13446  1257	  13494  1263	  14128  1359	  14133  1350
48  	  23467  1889	  23442  1873	  23431  1902	  22826  1940	  22456  1778	  22526  1784	  23433  1903	  23433  1891
64  	  33200  2366	  33119  2334	  33156  2380	  32439  2430	  31918  2233	  32009  2240	  33156  2380	  33152  2367
96  	  53795  3193	  53722  3154	  53726  3206	  52840  3291	  52056  3017	  52196  3026	  53726  3209	  53716  3196
128 	  75142  4108	  75066  4201	  75046  4119	  74068  4190	  73111  4091	  73295  4103	  75047  4119	  75035  4107
192 	 120322  5861	 120173  5920	 120184  5870	 119070  5953	 117559  5780	 117841  5790	 120185  5871	 120164  5860
256 	 167282  7502	 167154  7847	 167088  7513	 165867  7565	 164180  7703	 164546  7712	 167087  7512	 167062  7504
384 	 265128 10553	 264841 10950	 264818 10562	 263792 10655	 261542 10743	 262088 10754	 264822 10563	 264788 10555
512 	 365259 14798	 364965 15030	 364845 14804	 364267 14906	 361793 14849	 362518 14859	 364846 14806	 364807 14801
768 	 574190 22659	 573567 22949	 573552 22652	 574301 22743	 571428 22738	 572492 22741	 573553 22654	 573507 22659
1024	 787501 27772	 786694 27944	 786641 27775	 789172 27885	 786528 27707	 787930 27714	 786644 27769	 786597 27765
