# reps=1000, dist name=uniform, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=LAST, PARTITION_PRIO=LEFT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4278   497	   4268   496	   4256   497	   4267   497	   4184   502	   4213   498	   4267   497	   4267   497
24  	   7067   770	   6854   705	   6798   727	   7025   763	   7379   817	   7420   823	   7054   783	   6816   721
32  	  10201   957	   9823   850	   9740   879	  10086   923	  10818  1055	  10876  1065	  10185   974	   9764   872
48  	  16836  1320	  16082  1153	  15928  1186	  16513  1243	  18211  1477	  18301  1489	  16811  1339	  15967  1177
64  	  24186  1720	  22981  1480	  22759  1513	  23593  1584	  26428  1958	  26555  1973	  24151  1741	  22810  1505
96  	  39598  2383	  37394  1999	  37053  2030	  38356  2107	  43807  2768	  43996  2786	  39548  2406	  37127  2019
128 	  56131  3161	  52798  2677	  52333  2726	  54129  2818	  62560  3646	  62820  3666	  56069  3187	  52429  2714
192 	  91042  4722	  85214  3948	  84484  3973	  87220  4068	 102408  5495	 102800  5512	  90941  4740	  84631  3965
256 	 128150  6352	 119564  5333	 118582  5383	 122271  5457	 144930  7411	 145457  7428	 128015  6373	 118777  5369
384 	 205829  9909	 191337  8230	 189827  8270	 195430  8358	 234389 11598	 235181 11616	 205626  9931	 190120  8259
512 	 287784 12758	 266890 10590	 264879 10626	 272404 10710	 329084 15013	 330156 15030	 287524 12777	 265259 10614
768 	 461129 18840	 426159 15700	 423122 15728	 434440 15821	 530069 22137	 531668 22160	 460730 18858	 423705 15725
1024	 639826 24591	 590610 20697	 586557 20732	 601687 20815	 737685 28691	 739805 28704	 639291 24617	 587328 20720
