# reps=1000, dist name=uniform, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=LAST, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4277   497	   4268   496	   4256   496	   4268   497	   4301   489	   4319   482	   4267   496	   4268   497
24  	   6871   725	   6869   710	   6798   728	   7025   762	   7601   843	   7624   841	   6858   738	   6816   722
32  	   9843   875	   9849   854	   9740   879	  10086   924	  11205  1097	  11235  1099	   9827   891	   9764   871
48  	  16094  1183	  16124  1158	  15929  1186	  16513  1243	  18970  1521	  19015  1523	  16068  1202	  15965  1176
64  	  22991  1515	  23041  1485	  22760  1514	  23594  1584	  27604  2003	  27667  2005	  22954  1534	  22810  1506
96  	  37403  2029	  37490  2002	  37054  2029	  38355  2107	  45869  2799	  45958  2803	  37350  2051	  37125  2019
128 	  52806  2725	  52932  2690	  52334  2728	  54130  2815	  65617  3682	  65736  3685	  52743  2751	  52430  2715
192 	  85202  3980	  85416  3955	  84486  3974	  87219  4067	 107570  5481	 107749  5489	  85099  4000	  84631  3964
256 	 119544  5375	 119840  5342	 118582  5381	 122268  5460	 152358  7380	 152596  7385	 119409  5403	 118776  5370
384 	 191281  8270	 191750  8234	 189829  8271	 195431  8358	 246708 11497	 247067 11503	 191081  8295	 190123  8259
512 	 266822 10621	 267448 10596	 264876 10627	 272409 10709	 346635 14881	 347113 14882	 266556 10647	 265261 10615
768 	 426042 15732	 426986 15715	 423129 15727	 434449 15821	 558611 21891	 559329 21906	 425643 15750	 423708 15723
1024	 590455 20730	 591727 20694	 586557 20731	 601684 20819	 777957 28366	 778908 28370	 589922 20758	 587335 20724
