# reps=1000, dist name=normal, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=LAST, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4647   620	   4636   619	   4626   619	   4801   620	   4953   678	   4972   673	   4637   619	   4636   620
24  	   7739   869	   7743   856	   7665   869	   8170   910	   8944  1085	   8968  1085	   7722   880	   7685   865
32  	  11243  1115	  11254  1095	  11140  1117	  11870  1170	  13205  1361	  13237  1361	  11225  1131	  11164  1111
48  	  18819  1443	  18857  1428	  18654  1438	  19815  1514	  22513  1804	  22560  1806	  18787  1455	  18693  1435
64  	  27155  2017	  27219  1998	  26927  2013	  28537  2095	  32806  2548	  32866  2550	  27113  2031	  26979  2007
96  	  44944  2879	  45054  2860	  44593  2874	  47101  2965	  55043  3599	  55138  3601	  44884  2895	  44671  2868
128 	  64035  3931	  64187  3913	  63560  3925	  66967  4019	  78989  4998	  79114  5005	  63955  3944	  63665  3920
192 	 104181  5737	 104442  5722	 103453  5727	 108634  5829	 129564  7215	 129754  7224	 104053  5748	 103612  5724
256 	 147462  7628	 147813  7610	 146491  7624	 153412  7712	 184329  9752	 184568  9753	 147293  7645	 146706  7618
384 	 238631 12075	 239177 12058	 237158 12066	 247670 12183	 300381 15477	 300748 15485	 238378 12088	 237478 12060
512 	 335133 15819	 335861 15809	 333162 15808	 347228 15908	 423257 20214	 423753 20221	 334789 15829	 333581 15803
768 	 535838 22603	 536959 22588	 532873 22603	 554070 22670	 679986 28786	 680720 28792	 535331 22614	 533512 22596
1024	 749952 32107	 751469 32101	 746006 32093	 774282 32209	 954913 41435	 955884 41442	 749279 32114	 746849 32087
