# reps=1000, dist name=normal, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=LAST, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3912   498	   3901   499	   3902   498	   3901   500	   3873   426	   3899   422	   3901   499	   3912   499
24  	   6821   727	   6811   712	   6773   730	   6952   763	   6913   738	   6944   740	   6804   737	   6810   728
32  	   9944   939	   9932   916	   9876   942	  10158   991	  10177   969	  10220   972	   9925   954	   9928   941
48  	  16667  1211	  16669  1192	  16554  1209	  17028  1275	  17282  1287	  17348  1294	  16635  1222	  16634  1210
64  	  24050  1657	  24056  1637	  23892  1656	  24568  1725	  25124  1809	  25212  1815	  24009  1671	  24003  1658
96  	  39824  2320	  39847  2300	  39578  2321	  40662  2396	  42006  2588	  42148  2597	  39764  2337	  39749  2322
128 	  56703  3139	  56732  3123	  56368  3136	  57859  3219	  60132  3602	  60318  3619	  56625  3152	  56600  3138
192 	  92225  4515	  92294  4503	  91705  4511	  93995  4596	  98412  5218	  98696  5236	  92099  4525	  92062  4517
256 	 130382  5938	 130475  5929	 129684  5940	 132751  6013	 139724  6958	 140097  6975	 130213  5956	 130161  5942
384 	 210840  9388	 211009  9374	 209786  9381	 214481  9480	 227227 11072	 227796 11089	 210589  9401	 210505  9382
512 	 295895 12218	 296109 12217	 294481 12212	 300777 12302	 319822 14479	 320581 14503	 295557 12234	 295441 12216
768 	 472971 17366	 473309 17357	 470842 17367	 480359 17439	 513152 20718	 514295 20744	 472472 17386	 472287 17365
1024	 661369 24737	 661830 24731	 658522 24724	 671228 24824	 719782 29619	 721298 29642	 660697 24745	 660456 24741
