# reps=1000, dist name=uniform, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=LAST, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4277   497	   4268   497	   4268   497	   4267   496	   4225   479	   4248   474	   4268   497	   4278   497
24  	   7338   802	   7321   781	   7291   807	   7475   845	   7423   821	   7455   824	   7324   816	   7326   805
32  	  10653  1008	  10636   984	  10586  1012	  10871  1069	  10885  1066	  10927  1071	  10637  1024	  10635  1010
48  	  17698  1380	  17691  1352	  17588  1384	  18074  1449	  18309  1491	  18377  1498	  17672  1398	  17667  1382
64  	  25504  1782	  25501  1754	  25348  1786	  26047  1858	  26579  1962	  26671  1970	  25470  1802	  25458  1785
96  	  41883  2441	  41883  2416	  41640  2446	  42741  2532	  44072  2788	  44206  2803	  41833  2464	  41810  2445
128 	  59486  3222	  59488  3182	  59158  3224	  60675  3321	  62916  3666	  63100  3677	  59422  3247	  59387  3225
192 	  96663  4735	  96691  4715	  96158  4735	  98478  4827	 102964  5493	 103247  5506	  96561  4754	  96507  4736
256 	 136195  6338	 136240  6314	 135519  6353	 138648  6425	 145701  7439	 146077  7450	 136059  6368	 135982  6347
384 	 219089  9832	 219173  9807	 218059  9839	 222821  9930	 235547 11630	 236112 11648	 218886  9854	 218765  9839
512 	 306608 12644	 306718 12626	 305228 12647	 311637 12733	 330658 15025	 331419 15047	 306341 12666	 306171 12648
768 	 491581 18607	 491757 18593	 489510 18608	 499144 18701	 532464 22180	 533598 22201	 491180 18636	 490924 18612
1024	 682648 24277	 682891 24227	 679886 24279	 692755 24378	 740829 28772	 742349 28781	 682115 24295	 681771 24274
