# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=LAST, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4227   501	   4218   501	   4217   501	   4218   500	   4133   481	   4159   477	   4218   501	   4229   501
24  	   7145   794	   7134   784	   7097   796	   7278   833	   7233   803	   7263   808	   7128   804	   7133   796
32  	  10247   953	  10243   938	  10177   953	  10457  1012	  10473   984	  10518   991	  10226   965	  10229   955
48  	  16941  1307	  16947  1295	  16825  1303	  17305  1370	  17538  1390	  17607  1403	  16907  1318	  16907  1307
64  	  24104  1587	  24113  1574	  23944  1584	  24623  1657	  25156  1707	  25250  1720	  24061  1598	  24055  1586
96  	  39089  2169	  39117  2152	  38840  2169	  39907  2237	  41189  2410	  41327  2424	  39024  2185	  39010  2169
128 	  54903  2708	  54945  2693	  54567  2708	  56018  2777	  58218  3050	  58399  3060	  54816  2723	  54798  2710
192 	  88322  4002	  88400  3988	  87813  4007	  90034  4076	  94415  4630	  94687  4643	  88193  4023	  88163  4006
256 	 123323  5195	 123454  5192	 122640  5191	 125604  5267	 132582  6109	 132948  6125	 123143  5204	 123105  5196
384 	 195879  7572	 196090  7561	 194839  7574	 199297  7637	 212083  8940	 212623  8951	 195597  7582	 195546  7571
512 	 271807 10093	 272099 10070	 270419 10087	 276338 10153	 295739 11883	 296451 11893	 271422 10102	 271360 10090
768 	 429134 15654	 429615 15651	 427065 15648	 435802 15698	 469424 18570	 470462 18581	 428533 15660	 428460 15654
1024	 590513 20293	 591167 20292	 587759 20285	 599287 20360	 648670 24433	 650042 24445	 589700 20299	 589606 20296
