# reps=1000, dist name=normal, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=LEFT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4077   499	   3902   499	   3890   499	   3902   499	   3839   331	   3872   330	   4066   499	   3902   499
24  	   6755   575	   6386   564	   6314   565	   6503   577	   6735   592	   6771   593	   6734   576	   6337   564
32  	   9725   723	   9168   707	   9064   714	   9347   712	   9890   732	   9939   737	   9695   725	   9093   712
48  	  16195   919	  15199   877	  15021   879	  15516   894	  16873   998	  16952  1006	  16153   920	  15064   879
64  	  23046  1071	  21574  1014	  21323  1019	  22023  1027	  24345  1179	  24453  1188	  22988  1073	  21383  1018
96  	  37641  1514	  35103  1400	  34707  1405	  35825  1423	  40433  1729	  40601  1740	  37555  1517	  34795  1404
128 	  53111  1900	  49386  1730	  48845  1735	  50379  1743	  57557  2193	  57786  2203	  52996  1902	  48961  1733
192 	  85788  2723	  79509  2348	  78679  2352	  81038  2370	  94078  3075	  94421  3086	  85618  2723	  78852  2353
256 	 120408  3568	 111373  3061	 110246  3067	 113446  3076	 133077  4073	 133542  4081	 120180  3573	 110477  3064
384 	 192883  4971	 177828  4132	 176125  4131	 180984  4143	 214793  5727	 215488  5737	 192540  4971	 176473  4131
512 	 269593  6966	 248159  5771	 245864  5780	 252404  5786	 302064  8002	 302998  8012	 269131  6967	 246328  5777
768 	 428893  9834	 393951  8126	 390497  8127	 400372  8155	 484189 11848	 485605 11864	 428209  9833	 391204  8125
1024	 596139 13979	 546795 11608	 542180 11600	 555348 11633	 676118 17220	 677994 17235	 595221 13973	 543109 11604
