# reps=1000, dist name=sorted, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=LEFT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   1539     6	   1363     6	   1348     7	   1363     6	   2342     8	   2374     9	   1523     7	   1363     6
24  	   3569     5	   3207     8	   3137     5	   3303     8	   3313     5	   3345     5	   3545    10	   3159     8
32  	   4578     6	   4089     8	   4018     6	   4185     8	   4283    11	   4315    11	   4555    11	   4040     8
48  	   9209    12	   8260    13	   8083    13	   8559    10	   9056    11	   9130    12	   9161    13	   8132    12
64  	  11853    14	  10553    14	  10376    13	  10852    13	  11701    13	  11775    14	  11806    15	  10424    14
96  	  22295    17	  19934    19	  19533    18	  20626    19	  22621    18	  22787    18	  22209    20	  19624    16
128 	  28819    21	  25575    20	  25177    21	  26271    22	  29322    21	  29488    22	  28733    21	  25266    20
192 	  52135    27	  46414    27	  45575    28	  47903    28	  53955    27	  54293    28	  51958    29	  45752    27
256 	  67650    30	  59815    29	  58977    33	  61304    31	  70172    31	  70515    32	  67472    31	  59154    30
384 	 119169    42	 105695    38	 103974    39	 108766    41	 125046    42	 125742    43	 118817    43	 104327    39
512 	 155132    45	 136727    45	 135008    46	 139803    45	 163133    51	 163822    48	 154780    47	 135366    46
768 	 268001    61	 236914    60	 233434    59	 243164    60	 284126    68	 285526    63	 267295    59	 234136    58
1024	 349798    74	 307446    70	 303964    67	 313698    70	 371584    76	 372983    74	 349094    70	 304668    67
