# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=LEFT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4393   500	   4217   501	   4206   501	   4218   501	   4061   381	   4094   380	   4382   500	   4218   501
24  	   7047   614	   6677   605	   6604   602	   6796   617	   7015   639	   7052   643	   7024   614	   6627   603
32  	  10069   738	   9503   711	   9399   714	   9687   724	  10200   753	  10251   759	  10040   739	   9428   713
48  	  16388   934	  15392   902	  15212   902	  15710   914	  17027  1011	  17107  1021	  16343   933	  15257   902
64  	  23146  1125	  21657  1060	  21402  1062	  22110  1073	  24384  1197	  24494  1205	  23086  1125	  21462  1061
96  	  37169  1519	  34608  1411	  34213  1415	  35328  1424	  39914  1739	  40083  1750	  37082  1520	  34299  1414
128 	  51997  1842	  48263  1641	  47722  1644	  49262  1659	  56472  2005	  56701  2014	  51882  1846	  47838  1643
192 	  82616  2556	  76363  2218	  75542  2219	  77869  2247	  91033  2864	  91372  2876	  82444  2559	  75714  2220
256 	 114716  3265	 105708  2789	 104597  2781	 107741  2809	 127573  3690	 128025  3699	 114492  3265	 104828  2782
384 	 181146  4788	 166293  3980	 164616  3972	 169378  4015	 204137  5479	 204814  5490	 180810  4786	 164962  3976
512 	 249760  6092	 228756  5051	 226524  5039	 232842  5091	 284234  7139	 285143  7158	 249313  6096	 226978  5041
768 	 392381  9230	 358084  7337	 354724  7319	 364212  7380	 451741 10348	 453093 10349	 391707  9228	 355400  7322
1024	 538570 12064	 490322  9787	 485889  9781	 498422  9830	 624838 14636	 626622 14652	 537679 12057	 486784  9776
