# reps=1000, dist name=reverse, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=LEFT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	  10132    13	   8469    15	   8458    13	   8633    13	   4306     6	   4337     6	  10121    12	   8470    16
24  	   6286    12	   5582    12	   5518    12	   5957     9	   6332     9	   6367    12	   6266     9	   5540     8
32  	   8269    10	   7303    10	   7234    15	   7764    14	   8360    11	   8392    11	   8247    10	   7261     9
48  	  19509    16	  17817    18	  19632    17	  21327    19	  20435    20	  20558    17	  19754    18	  19520    17
64  	  35643    22	  33155    21	  38097    22	  41290    23	  37098    23	  37306    23	  36238    24	  37810    23
96  	  76373    33	  72298    33	  85603    35	  91795    34	  78888    36	  79272    33	  77673    34	  84963    35
128 	 128391    44	 122726    43	 147211    44	 156398    45	 131960    47	 132521    47	 130392    44	 146217    44
192 	 266270    63	 257436    66	 312721    64	 327909    69	 271961    66	 272876    64	 269690    66	 311028    64
256 	 449297    81	 437287    81	 534646    82	 555827    88	 457106    85	 458367    84	 454126    86	 532245    87
384 	 950766   115	 932403   125	1147697   122	1180868   126	 962802   125	 964774   118	 958423   120	1143878   122
512 	1632796   156	1608102   154	1986362   162	2031513   162	1649067   159	1651744   160	1643272   162	1981142   163
768 	3538559   231	3501147   243	4340553   231	4409665   246	3563283   232	3567364   238	3554661   230	4332490   230
1024	6166519   305	6116426   313	7597192   320	7690284   312	6199707   312	6205213   318	6188272   302	7586282   325
