# reps=1000, dist name=almost, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   2965   561	   2954   560	   2943   561	   2955   560	   3520   434	   3541   431	   2954   560	   2954   561
24  	   4537   634	   4560   633	   4466   630	   4658   661	   5149   750	   5171   752	   4516   636	   4488   629
32  	   6303   794	   6335   798	   6221   787	   6448   826	   7232   999	   7258  1003	   6279   794	   6246   788
48  	  10110   913	  10198   914	   9951   906	  10457   952	  12369  1169	  12413  1174	  10067   915	   9994   906
64  	  14040  1204	  14147  1214	  13854  1189	  14452  1264	  17324  1661	  17375  1669	  13991  1204	  13905  1192
96  	  22575  1386	  22790  1394	  22246  1370	  23359  1447	  28850  1984	  28938  1991	  22493  1386	  22332  1373
128 	  30791  2028	  31047  2047	  30402  1996	  31718  2133	  39627  3001	  39729  3009	  30692  2024	  30501  2001
192 	  50128  2275	  50596  2290	  49456  2250	  51770  2365	  65883  3468	  66051  3479	  49962  2273	  49627  2252
256 	  67890  3409	  68437  3444	  67110  3356	  69808  3563	  89689  5261	  89883  5271	  67699  3401	  67307  3367
384 	 111052  3580	 112029  3600	 109699  3548	 114413  3684	 148793  5725	 149132  5732	 110718  3577	 110036  3553
512 	 148588  5833	 149703  5895	 147051  5742	 152412  6084	 199878  9095	 200262  9116	 148208  5815	 147436  5763
768 	 244285  6279	 246285  6315	 241563  6227	 251076  6440	 331754 10773	 332431 10784	 243612  6268	 242241  6236
1024	 325513 10491	 327764 10611	 322458 10326	 333136 10934	 443647 16471	 444403 16510	 324758 10453	 323223 10357
