# reps=1000, dist name=sorted, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   1539     6	   1524     8	   1520     2	   1696     2	   2967     9	   2992     4	   1524     7	   1524     7
24  	   3898    11	   3897    10	   3832     8	   4274     6	   4202    11	   4226     6	   3873     5	   3850    10
32  	   5002     8	   5002     8	   4931     7	   5459     7	   5437    12	   5460     9	   4978     7	   4955    11
48  	  10466    12	  10486    14	  10310    14	  11366    14	  11454    15	  11501    13	  10421    14	  10353    12
64  	  13463    15	  13484    14	  13307    14	  14540    15	  14804    18	  14851    15	  13420    14	  13350    14
96  	  25934    19	  25999    19	  25604    19	  27894    19	  28559    21	  28644    20	  25845    19	  25690    21
128 	  33516    21	  33579    22	  33184    22	  35826    22	  37020    23	  37107    24	  33425    23	  33269    24
192 	  61586    30	  61743    30	  60905    30	  65661    32	  68007    31	  68183    31	  61411    30	  61082    31
256 	  79925    35	  80076    34	  79239    35	  84699    34	  88458    37	  88633    36	  79747    33	  79416    36
384 	 142374    45	 142701    45	 140985    45	 150675    48	 157442    48	 157793    48	 142017    47	 141337    46
512 	 185385    51	 185715    54	 183999    52	 195096    51	 205393    54	 205746    55	 185032    52	 184349    50
768 	 322934    71	 323617    67	 320135    65	 339696    68	 357417    69	 358117    74	 322228    68	 320840    66
1024	 421655    79	 422344    77	 418857    74	 441230    78	 467435    86	 468135    82	 420948    79	 419557    77
