# reps=1000, dist name=uniform, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5099   617	   5089   617	   5078   617	   5254   617	   5327   581	   5349   580	   5089   618	   5089   617
24  	   8387   801	   8386   799	   8304   798	   8779   822	   9375   969	   9399   971	   8364   802	   8327   796
32  	  12067   844	  12073   842	  11953   844	  12625   856	  13627   986	  13657   988	  12037   846	  11983   844
48  	  20002  1202	  20020  1199	  19817  1198	  20910  1226	  22927  1418	  22972  1419	  19958  1205	  19861  1199
64  	  28459  1489	  28493  1487	  28203  1486	  29721  1513	  32880  1710	  32940  1709	  28402  1491	  28265  1486
96  	  46539  1890	  46600  1887	  46150  1888	  48487  1916	  54272  2185	  54362  2184	  46454  1894	  46237  1888
128 	  65762  2536	  65852  2534	  65232  2528	  68407  2565	  77094  2919	  77215  2919	  65650  2535	  65349  2528
192 	 106145  3431	 106286  3430	 105335  3425	 110182  3469	 125402  3968	 125581  3971	 105973  3434	 105507  3428
256 	 148901  4655	 149099  4647	 147806  4651	 154328  4678	 176614  5302	 176850  5305	 148669  4657	 148043  4650
384 	 238635  6499	 238944  6499	 236992  6491	 246849  6523	 284615  7364	 284976  7365	 238289  6496	 237334  6495
512 	 332761  8447	 333177  8447	 330556  8442	 343757  8484	 398162  9734	 398637  9730	 332310  8450	 331027  8443
768 	 531244 13414	 531884 13407	 527923 13405	 547812 13435	 638200 15019	 638915 15014	 530557 13410	 528619 13404
1024	 737820 17686	 738676 17681	 733389 17674	 759954 17719	 888684 20261	 889633 20259	 736913 17686	 734321 17680
