# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=RIGHT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5040   621	   5031   622	   5019   622	   5195   622	   5242   578	   5264   577	   5030   622	   5030   622
24  	   8129   770	   8130   770	   8047   766	   8519   785	   9137   952	   9162   953	   8106   770	   8070   767
32  	  11662   904	  11668   903	  11548   902	  12217   923	  13237  1037	  13267  1037	  11632   906	  11577   903
48  	  19095  1172	  19116  1170	  18913  1169	  19996  1189	  22039  1373	  22084  1375	  19051  1172	  18958  1168
64  	  27039  1384	  27074  1382	  26786  1381	  28288  1404	  31451  1601	  31511  1599	  26980  1386	  26845  1380
96  	  43600  1926	  43663  1925	  43211  1926	  45530  1948	  51349  2166	  51436  2169	  43514  1930	  43300  1926
128 	  61116  2242	  61206  2239	  60585  2240	  63742  2263	  72494  2584	  72610  2586	  61002  2244	  60703  2240
192 	  97305  3149	  97451  3146	  96511  3141	 101276  3174	 116554  3595	 116730  3597	  97135  3151	  96684  3141
256 	 135227  4034	 135426  4035	 134161  4024	 140556  4060	 162987  4578	 163221  4574	 135001  4032	 134390  4027
384 	 213844  5867	 214162  5866	 212240  5857	 221894  5906	 260294  6668	 260637  6672	 213509  5869	 212586  5856
512 	 295327  7550	 295752  7554	 293192  7538	 306038  7590	 361837  8564	 362295  8564	 294878  7549	 293655  7540
768 	 464265 11065	 464912 11066	 461058 11048	 480338 11108	 574178 12336	 574847 12342	 463594 11066	 461739 11052
1024	 637220 15199	 638085 15197	 632970 15180	 658556 15245	 793578 17300	 794460 17306	 636328 15195	 633862 15188
