# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4227   501	   4218   501	   4218   501	   4218   501	   4161   374	   4189   374	   4217   501	   4228   501
24  	   7211   640	   7083   635	   7174   638	   7329   659	   7153   629	   7184   631	   7187   640	   7197   639
32  	  10441   774	  10197   743	  10392   772	  10630   809	  10381   756	  10423   758	  10412   774	  10422   773
48  	  17308   982	  16800   962	  17230   979	  17647  1011	  17300   991	  17364   999	  17266   982	  17275   981
64  	  24710  1166	  23868  1126	  24601  1163	  25199  1197	  24761  1179	  24846  1187	  24652  1165	  24662  1165
96  	  40225  1594	  38635  1555	  40061  1591	  41008  1627	  40501  1718	  40629  1728	  40139  1596	  40149  1593
128 	  56748  1897	  54314  1792	  56524  1892	  57835  1934	  57242  1987	  57419  1998	  56635  1896	  56642  1894
192 	  91082  2671	  86781  2496	  90745  2664	  92734  2719	  92199  2866	  92460  2880	  90913  2672	  90920  2670
256 	 127351  3396	 120940  3155	 126904  3389	 129585  3441	 129157  3690	 129505  3705	 127123  3395	 127132  3392
384 	 203025  5000	 192070  4597	 202351  4993	 206421  5057	 206606  5489	 207119  5503	 202691  5000	 202695  4994
512 	 281770  6395	 265954  5905	 280874  6391	 286276  6459	 287537  7176	 288219  7194	 281321  6395	 281322  6394
768 	 446446  9530	 419928  8496	 445090  9521	 453215  9590	 456788 10421	 457804 10435	 445771  9529	 445773  9522
1024	 616192 12766	 578311 11771	 614412 12762	 625154 12828	 631592 14741	 632911 14755	 615303 12759	 615309 12763
