# reps=1000, dist name=almost, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   3491   690	   3480   690	   3480   690	   3667   690	   4085   553	   4109   552	   3480   690	   3491   690
24  	   5874   864	   5857   857	   5828   861	   6284   899	   6005   842	   6032   846	   5854   867	   5863   863
32  	   8203  1127	   8188  1108	   8148  1119	   8727  1173	   8476  1084	   8507  1090	   8179  1126	   8188  1124
48  	  13829  1309	  13823  1285	  13716  1303	  14750  1357	  13918  1296	  13976  1301	  13787  1311	  13796  1307
64  	  19292  1833	  19292  1783	  19159  1818	  20461  1907	  19569  1766	  19637  1779	  19244  1831	  19252  1828
96  	  32003  2159	  32044  2069	  31763  2146	  33930  2230	  32067  2128	  32190  2135	  31921  2159	  31929  2155
128 	  43881  3258	  43946  3141	  43595  3231	  46323  3377	  44160  3185	  44306  3197	  43782  3253	  43789  3249
192 	  72914  3696	  73088  3538	  72420  3677	  76845  3799	  72879  3659	  73147  3666	  72750  3694	  72754  3690
256 	  99116  5675	  99341  5439	  98539  5638	 104052  5844	  99469  5670	  99777  5681	  98923  5668	  98925  5663
384 	 164605  6027	 165075  5728	 163601  6007	 172541  6140	 164355  6032	 164915  6031	 164272  6025	 164276  6016
512 	 220943  9817	 221532  9417	 219799  9752	 230795 10089	 221326  9913	 221956  9916	 220566  9801	 220564  9797
768 	 367275 11114	 368387 10207	 365248 11078	 383206 11270	 366434 11193	 367601 11173	 366598 11108	 366612 11102
1024	 490669 17767	 491952 16924	 488378 17655	 510321 18228	 491008 18029	 492321 18013	 489903 17728	 489910 17731
