# reps=1000, dist name=normal, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4669   620	   4658   620	   4659   620	   4846   620	   4793   462	   4820   462	   4658   619	   4670   619
24  	   8187   744	   8176   734	   8140   742	   8593   762	   8527   820	   8556   822	   8166   745	   8177   743
32  	  11959   915	  11947   907	  11892   912	  12527   938	  12426   986	  12466   986	  11931   916	  11942   915
48  	  20295  1234	  20284  1194	  20182  1228	  21206  1265	  21032  1275	  21096  1279	  20250  1232	  20260  1230
64  	  29176  1453	  29165  1380	  29020  1449	  30423  1481	  30237  1509	  30322  1513	  29121  1451	  29128  1451
96  	  48253  2118	  48231  1995	  48010  2113	  50183  2153	  49993  2155	  50122  2160	  48169  2118	  48177  2118
128 	  68541  2684	  68544  2515	  68209  2679	  71152  2709	  70938  2711	  71114  2717	  68425  2684	  68437  2681
192 	 111681  3765	 111687  3580	 111177  3763	 115646  3804	 115594  3783	 115852  3792	 111509  3766	 111522  3763
256 	 157690  4987	 157672  4692	 157006  4985	 163021  5017	 163191  5052	 163539  5059	 157460  4991	 157463  4987
384 	 253949  6981	 254121  6534	 252914  6976	 261997  7019	 262734  6994	 263261  7000	 253611  6981	 253607  6979
512 	 356658  9823	 356802  9219	 355267  9821	 367441  9850	 368861  9820	 369569  9825	 356205  9824	 356205  9819
768 	 570586 14457	 570702 13250	 568498 14458	 586819 14512	 590019 14430	 591078 14444	 569901 14463	 569894 14461
1024	 795875 21013	 795966 19089	 793082 21002	 817526 21062	 822955 20849	 824375 20859	 794966 21006	 794956 21005
