# reps=1000, dist name=reverse, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   8503    11	   8495    10	   8495    10	   8681    12	   4264     8	   4297     8	   8495    11	   8506    12
24  	   6101     9	   6101     9	   6059     8	   6485     9	   6245    10	   6276     9	   6079    12	   6091     9
32  	   7954    12	   7954    13	   7907    12	   8424    11	   8227    13	   8258    13	   7928    12	   7939    15
48  	  20183    17	  20876    17	  20273    19	  21823    18	  19811    17	  19861    16	  20425    19	  20237    19
64  	  37727    23	  39957    25	  37988    23	  40865    26	  36296    24	  36350    23	  38320    23	  37869    25
96  	  81272    35	  88694    36	  81893    34	  87413    36	  77731    33	  77781    34	  82576    37	  81594    35
128 	 136108    45	 151532    45	 137077    47	 145242    47	 130447    47	 130504    45	 138110    45	 136605    46
192 	 279627    65	 319511    63	 281303    65	 294754    64	 269739    65	 269792    66	 283041    66	 280477    68
256 	 468281    83	 543887    86	 470661    84	 489413    86	 454166    84	 454221    83	 473112    88	 469487    82
384 	 981001   123	1161851   124	 984807   122	1014124   119	 958433   120	 958490   119	 988649   122	 982913   120
512 	1674296   165	2005406   161	1679503   159	1719394   163	1643256   165	1643312   158	1684760   158	1676907   162
768 	3602497   239	4369365   233	3610528   233	3671583   232	3554559   243	3554614   235	3618596   231	3606520   237
1024	6252920   318	7635685   321	6263772   315	6345969   295	6188071   306	6188272   327	6274670   316	6258365   302
