# reps=1000, dist name=sorted, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   1556     7	   1551     2	   1552     2	   1732     7	   2982     7	   2999    10	   1552     2	   1556     8
24  	   4162     6	   4138    11	   4120     8	   4546     7	   4264     8	   4281    11	   4138    11	   4152     8
32  	   5308    12	   5284     8	   5260    11	   5780     8	   5539     8	   5562     8	   5283     8	   5293    12
48  	  11336    14	  11325    13	  11223    14	  12226    12	  11290    16	  11346    12	  11290    16	  11304    14
64  	  14509    15	  14497    15	  14397    15	  15576    14	  14642    17	  14697    15	  14465    18	  14477    15
96  	  28269    19	  28312    20	  28029    21	  30175    20	  27997    22	  28128    21	  28182    22	  28193    22
128 	  36378    23	  36423    23	  36139    24	  38636    23	  36370    23	  36505    23	  36292    25	  36303    24
192 	  67374    31	  67560    32	  66865    32	  71304    33	  66694    32	  66993    31	  67198    30	  67207    31
256 	  87118    36	  87308    37	  86612    36	  91753    37	  86884    35	  87182    36	  86941    36	  86953    37
384 	 156104    47	 156608    47	 155069    47	 164086    47	 154672    49	 155317    47	 155750    49	 155760    46
512 	 202645    54	 203154    52	 201608    53	 212034    54	 202015    56	 202655    54	 202291    54	 202304    53
768 	 354662    72	 355845    72	 352568    68	 370751    74	 351796    72	 353125    72	 353960    74	 353968    71
1024	 461851    81	 463025    84	 459759    82	 480751    85	 460490    83	 461827    84	 461144    80	 461155    79
