# reps=1000, dist name=uniform, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN, PARTITION_PRIO=SHORTER, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5122   617	   5111   617	   5112   617	   5299   617	   5200   546	   5227   546	   5111   617	   5123   617
24  	   8811   840	   8799   825	   8762   837	   9223   865	   9185   916	   9215   920	   8788   839	   8799   839
32  	  12777   889	  12769   863	  12707   886	  13350   914	  13299   951	  13339   954	  12749   888	  12757   887
48  	  21435  1291	  21418  1243	  21320  1287	  22354  1326	  22261  1364	  22325  1368	  21391  1293	  21400  1291
64  	  30716  1621	  30681  1548	  30555  1619	  31983  1655	  31845  1663	  31932  1666	  30658  1622	  30666  1622
96  	  50557  2081	  50523  1979	  50311  2076	  52497  2116	  52438  2135	  52571  2140	  50471  2080	  50479  2076
128 	  71746  2833	  71751  2680	  71411  2825	  74373  2871	  74375  2875	  74551  2882	  71631  2831	  71639  2831
192 	 116472  3929	 116421  3541	 115960  3920	 120473  3969	 120703  3941	 120969  3950	 116301  3924	 116305  3923
256 	 163896  5245	 163887  4936	 163205  5245	 169267  5289	 169809  5321	 170167  5320	 163668  5249	 163672  5244
384 	 263797  7374	 263790  6936	 262752  7368	 271918  7416	 273232  7400	 273771  7403	 263455  7374	 263456  7375
512 	 368786  9741	 368815  8875	 367381  9732	 379639  9792	 381892  9791	 382605  9804	 368325  9741	 368317  9740
768 	 590705 15264	 590722 14330	 588592 15265	 607067 15312	 611466 15209	 612541 15224	 590019 15273	 589998 15275
1024	 822073 20542	 822155 18604	 819258 20532	 843908 20594	 850874 20516	 852299 20528	 821163 20548	 821147 20544
