# reps=1000, dist name=reverse, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   7003     9	   6993    12	   6983    11	   6992    13	   4377   769	   4398   765	   6993    13	   6992    12
24  	   6404  1367	   6266  1338	   6181  1331	   6369  1371	   6693  1357	   6717  1361	   6381  1369	   6204  1331
32  	   8792  1816	   8545  1765	   8417  1738	   8695  1806	   9319  1825	   9350  1831	   8764  1813	   8447  1742
48  	  14582  1484	  14055  1433	  13843  1421	  14313  1472	  15632  1610	  15677  1618	  14540  1484	  13887  1422
64  	  20526  1919	  19646  1857	  19347  1834	  20021  1911	  22149  2107	  22210  2115	  20471  1919	  19404  1838
96  	  33260  2437	  31617  2311	  31142  2282	  32212  2384	  36173  2705	  36265  2716	  33176  2436	  31229  2286
128 	  46419  2801	  43899  2673	  43246  2636	  44711  2761	  50726  3338	  50846  3349	  46309  2801	  43363  2642
192 	  74794  3694	  70348  3450	  69350  3406	  71609  3553	  82126  4473	  82307  4485	  74631  3694	  69524  3410
256 	 104282  4401	  97652  4151	  96297  4104	  99353  4252	 114786  5597	 115025  5608	 104062  4398	  96529  4110
384 	 166751  5722	 155427  5396	 153379  5347	 158019  5515	 184195  7728	 184550  7743	 166425  5718	 153725  5351
512 	 231962  7557	 215529  7117	 212766  7056	 219000  7246	 256877 10398	 257356 10421	 231517  7556	 213228  7068
768 	 367740 10153	 340119  9617	 335969  9564	 345347  9766	 407605 14882	 408317 14896	 367080 10151	 336655  9570
1024	 510430 13679	 470808 12985	 465248 12919	 477827 13129	 566598 19975	 567557 19986	 509551 13681	 466168 12928
