# reps=1000, dist name=uniform, dist param=0, TYPE=UINT32, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4289   497	   4278   497	   4267   497	   4279   497	   4565   408	   4586   406	   4279   496	   4279   497
24  	   7704   772	   7561   741	   7477   738	   7666   773	   7902   827	   7927   830	   7683   776	   7499   736
32  	  11048   899	  10782   833	  10653   827	  10937   874	  11465   947	  11496   952	  11019   902	  10683   827
48  	  18410  1171	  17877  1089	  17664  1083	  18137  1132	  19490  1272	  19536  1279	  18368  1175	  17708  1083
64  	  26100  1340	  25247  1239	  24944  1231	  25620  1285	  27968  1463	  28030  1472	  26044  1342	  25002  1230
96  	  42620  1810	  40979  1653	  40503  1642	  41568  1703	  46161  2043	  46251  2054	  42537  1812	  40591  1643
128 	  59829  2288	  57323  2049	  56669  2041	  58132  2105	  65374  2566	  65494  2575	  59715  2290	  56783  2041
192 	  96288  3123	  91875  2738	  90865  2725	  93127  2806	 106344  3549	 106524  3558	  96120  3127	  91043  2723
256 	 134469  3889	 127899  3376	 126547  3361	 129592  3436	 149387  4540	 149625  4551	 134248  3893	 126776  3360
384 	 214968  5840	 203595  4984	 201543  4976	 206183  5058	 240467  6809	 240828  6816	 214638  5841	 201887  4973
512 	 298382  7098	 281977  5937	 279226  5928	 285434  6003	 335588  8213	 336071  8225	 297944  7105	 279686  5927
768 	 473710 11018	 445958  8974	 441797  8964	 451198  9035	 535519 12555	 536235 12568	 473053 11022	 442492  8962
1024	 654569 13908	 614987 11580	 609417 11573	 621998 11659	 743255 16731	 744214 16736	 653693 13909	 610342 11570
