# reps=1000, dist name=normal, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   4679   620	   5404   740	   5392   740	   4857   620	   5201   490	   5234   489	   4670   619	   5404   740
24  	   8418   872	   9292   958	   9187   957	   8842   907	   9187   965	   9224   969	   8396   874	   9209   955
32  	  12132   978	  13323  1073	  13163  1064	  12726  1008	  13402  1111	  13453  1120	  12102   979	  13193  1064
48  	  20520  1287	  22324  1388	  22050  1384	  21470  1339	  22939  1574	  23021  1585	  20477  1287	  22096  1384
64  	  29294  1585	  31716  1704	  31340  1698	  30618  1649	  33108  1968	  33219  1981	  29236  1586	  31399  1698
96  	  48060  2150	  51707  2278	  51082  2229	  50064  2165	  54766  2606	  54936  2618	  47978  2152	  51170  2230
128 	  67640  2556	  72528  2705	  71672  2689	  70345  2606	  77658  3253	  77886  3268	  67528  2555	  71789  2690
192 	 109601  3664	 116940  3808	 115665  3812	 113757  3743	 126976  4832	 127322  4847	 109430  3666	 115840  3812
256 	 153375  4613	 163120  4781	 161325  4783	 158895  4709	 178538  6143	 179008  6158	 153150  4618	 161555  4785
384 	 245786  7004	 260465  7195	 257867  7337	 254251  7243	 288383  9405	 289086  9420	 245448  7009	 258218  7332
512 	 342306  8764	 361784  8926	 358242  8783	 353614  8675	 403391 11494	 404332 11509	 341853  8763	 358707  8784
768 	 544987 13863	 574293 14008	 568718 13625	 561706 13540	 645444 17651	 646868 17667	 544311 13853	 569410 13621
1024	 756203 17500	 795245 17689	 788249 17386	 779075 17287	 899995 22886	 901891 22897	 755300 17513	 789181 17380
