# reps=1000, dist name=Zipf, dist param=0, TYPE=UINT64, BLOCK_SIZE=16512, SEQREAD_CACHE_SIZE=1024, NR_TASKLETS=1, CALL_OVERHEAD=128
# QUICK_THRESHOLD=18, PIVOT=MEDIAN_OF_RANDOM, PARTITION_PRIO=LEFT, RECURSIVE=false, MERGE_THRESHOLD=32
n	µ_Normal σ_Normal	µ_TrivialBC σ_TrivialBC	µ_NoTrivial σ_NoTrivial	µ_OneInsertion σ_OneInsertion	µ_ThreshBC σ_ThreshBC	µ_ThreshTrivBC σ_ThreshTrivBC	µ_ThreshThenTriv σ_ThreshThenTriv	µ_TrivInThresh σ_TrivInThresh
16  	   5074   622	   5876   743	   5865   744	   5251   622	   5538   566	   5570   565	   5063   622	   5876   744
24  	   8824   918	   9763  1003	   9653   993	   9253   948	   9588   998	   9627  1003	   8802   921	   9675   991
32  	  12593  1049	  13854  1144	  13705  1139	  13215  1097	  13904  1221	  13957  1230	  12564  1051	  13736  1140
48  	  20840  1398	  22701  1508	  22429  1490	  21800  1436	  23216  1649	  23297  1660	  20796  1401	  22474  1488
64  	  29268  1575	  31722  1694	  31312  1653	  30552  1598	  32872  1897	  32981  1909	  29211  1575	  31371  1655
96  	  47600  2291	  51148  2425	  50516  2412	  49608  2355	  54139  2801	  54309  2815	  47515  2295	  50603  2412
128 	  66055  2639	  70664  2801	  69811  2721	  68760  2640	  75817  3183	  76045  3199	  65946  2641	  69928  2722
192 	 105196  3515	 111856  3693	 110474  3582	 109197  3478	 121925  4365	 122270  4383	 105029  3517	 110645  3585
256 	 145821  4311	 154356  4460	 152605  4362	 151303  4306	 170658  5538	 171116  5557	 145600  4305	 152835  4363
384 	 230281  6234	 242390  6403	 239627  6298	 238415  6200	 271941  8064	 272626  8078	 229944  6230	 239966  6301
512 	 316226  8150	 331497  8299	 328068  8194	 327320  8134	 376762 10734	 377674 10749	 315775  8150	 328525  8197
768 	 495446 12240	 516536 12377	 511554 12589	 512267 12503	 596301 16921	 597666 16931	 494777 12238	 512230 12591
1024	 677856 15070	 704272 15152	 697106 15103	 699607 15198	 819977 20754	 821762 20769	 676968 15060	 698008 15112
